Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,-1.0
Crystal Vein | Lodestone Golem | Mana Vault,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Forest | Hexdrinker | Wasteland,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,-1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hope of Ghirapur | Wasteland | Welding Jar,-1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Mana Tithe | Plains | Speaker of the Heavens,1.0
Memnite | Snow-Covered Swamp | Specter's Shriek,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mox Pearl | Mutavault | Skrelv's Hive,1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Plains | Student of Warfare | Unwanted Remake,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,1.0
Academy Ruins | Azorius Chancery | The Filigree Sylex,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,0.0
Angel of Sanctions | Icatian Store | Maze of Ith,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bayou | Hexdrinker | Thoughtseize,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Curse of Silence | Ocelot Pride | Plains,0.0
Endless One | Magus of the Vineyard | Pendelhaven,1.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,1.0
Hickory Woodlot | Outland Liberator | Tender Wildguide,-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Living Conundrum | Maze of Ith | Sand Silos,0.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
Scythe Tiger | Thoughtseize | Undiscovered Paradise,1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,0.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Phyrexian Revoker | Warping Wail,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.0
Assassin's Trophy | Chancellor of the Forge | Geothermal Crevice,-0.5
Bilious Skulldweller | Dreams of Steel and Oil | Swamp,-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,1.0
Cry of Contrition | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Darksteel Citadel | Ice Floe | The Millennium Calendar,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Daze | Sleep-Cursed Faerie | Volcanic Island,1.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dreadhorde Invasion | Mox Jet | Rishadan Port,0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-1.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
"Ezio Auditore da Firenze | Morophon, the Boundless | Peat Bog",-1.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,0.0
Get Lost | Remote Farm | Skrelv's Hive,1.0
Giver of Runes | Ocelot Pride | Plains,1.0
Goblin Guide | Goblin Guide | Mountain,1.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",1.0
"Hollow Trees | Song of the Dryads | Wilson, Refined Grizzly",1.0
"Izzet Boilerworks | The Tabernacle at Pendrell Vale | Yidaro, Wandering Monster",-1.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Kefnet's Last Word | Living Conundrum | Sand Silos,-1.0
Mountain | Nether Spirit | Sonic Seizure,-1.0
Ocelot Pride | Ocelot Pride | Plains,-1.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
