Opponent Decklist,Result
Aether Vial | Karakas | Mangara of Corondor,-1.0
Alpine Moon | Chronomaton | Mountain,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Approach of the Second Sun | Fountain of Cho | Wall of Shards,-1.0
Bitterblossom | Innocent Blood | Peat Bog,-1.0
Bitterblossom | Peat Bog | Smallpox,-1.0
Bojuka Bog | Cauldron Familiar | Witch's Oven,-1.0
Cenn's Tactician | Concealed Courtyard | Funeral Charm,-1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Crashing Footfalls | Forest | Nature's Claim,-1.0
Crashing Footfalls | Forest | Pick Your Poison,-1.0
Crystal Vein | Mutavault | Void Mirror,1.0
Dark Ritual | Phylactery Lich | Vault of Whispers,0.0
Dark Ritual | Plaguecrafter | Swamp,1.0
Deep-Cavern Bat | Mox Jet | Swamp,-0.5
Drain Life | Subterranean Hangar | Sudden Edict,0.0
Dryad Arbor | Force of Despair | Grief,-0.5
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
"Karakas | Lavinia, Azorius Renegade | Mox Sapphire",0.0
Mox Pearl | Mutavault | Patrol Signaler,-0.5
Phage the Untouchable | Subterranean Hangar | Sudden Edict,0.0
Remote Farm | Skrelv's Hive | Skrelv's Hive,-1.0
