Opponent Decklist,Result
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Blood Knight | Sandstone Needle | Tibalt's Trickery,1.0
"Boseiju, Who Endures | Inkmoth Nexus | Mox Emerald",-1.0
"Boseiju, Who Endures | Llanowar Reborn | Rograkh, Son of Rohgahh",-1.0
Bottomless Vault | Bottomless Vault | Doomsday Confluence,-1.0
Chancellor of the Forge | Foil | Island,1.0
Crawling Chorus | Snow-Covered Plains | Swords to Plowshares,0.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Ezio Auditore da Firenze | Peat Bog | Thraximundar,0.0
Flickering Ward | Undiscovered Paradise | Venerated Rotpriest,-1.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Karakas | Ocelot Pride | Ocelot Pride,-1.0
"Mishra's Factory | Molten Slagheap | Ob Nixilis, the Adversary",-0.5
Ocelot Pride | Storm World | Undiscovered Paradise,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | Senu, Keen-Eyed Protector",-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,-1.0
"Snuff Out | Swamp | Valentin, Dean of the Vein",0.0
