Opponent Decklist,Result
Badlands | Encroach | Stromkirk Noble,-0.5
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Memnite,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-0.5
City of Traitors | Isochron Scepter | Verdant Command,0.0
Cranial Ram | Generous Plunderer | Sandstone Needle,0.0
Disruptor Flute | Remote Farm | White Orchid Phantom,-0.5
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",0.0
Flash | Hornet Queen | Saprazzan Skerry,-0.5
Flash | Phyrexian Triniform | Sand Silos,0.0
Flash | Saprazzan Cove | Worldspine Wurm,0.0
Force Spike | Island | Memnite,-1.0
"Fountain of Cho | Island Sanctuary | Ulamog, the Infinite Gyre",0.0
Karakas | Ocelot Pride | Path to Exile,-0.5
Ocelot Pride | Scrubland | Thoughtseize,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-0.5
Platinum Emperion | Sand Silos | Show and Tell,0.0
