Opponent Decklist,Result
"Ajani, Nacatl Pariah | Hostile Hostel | Karakas",-1.0
Bonesplitter | Ocelot Pride | Plains,1.0
Bottomless Vault | Reassembling Skeleton | Sheoldred's Edict,1.0
Brain Maggot | Mox Jet | Rishadan Port,-0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Chancellor of the Forge | Foil | Island,1.0
Charmbreaker Devils | Lightning Bolt | Mercadian Bazaar,1.0
City of Traitors | Disruptor Flute | Drillworks Mole,-1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Epochrasite | Jinxed Idol,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Dark Ritual | Exsanguinator Cavalry | Urborg,1.0
Field of Ruin | Idol of False Gods | Sol Ring,-1.0
Inkmoth Nexus | Mox Jet | Sphere of Resistance,-1.0
Mana Tithe | Memnite | Plains,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Battle of Wits | Mental Misstep | Sand Silos,1.0
Blinkmoth Nexus | Mox Pearl | Reluctant Role Model,0.0
Chancellor of the Forge | Contagion | Unmask,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
Curse of Silence | Hexdrinker | Savannah,-1.0
Daze | Sleep-Cursed Faerie | Volcanic Island,0.0
Detention Vortex | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Floodpits Drowner | Mox Sapphire | Mutavault,0.5
"Grist, Voracious Larva | Pendelhaven | Young Wolf",1.0
Hammerheim | Heartfire Hero | Lightning Bolt,0.5
Hammerheim | Heartfire Hero | Wasteland,-1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",-1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Leyline of Transformation | Rushwood Grove | Turntimber Ranger,1.0
Mox Jet | Nezumi Shortfang | Wasteland,-1.0
Alpine Moon | Copperline Gorge | Hexdrinker,-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,-1.0
Ancient Tomb | Steel Overseer | Steel Overseer,0.5
Azure Beastbinder | Azure Beastbinder | Saprazzan Skerry,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bandit's Talent | Mox Jet | Mutavault,-1.0
"Battlefield Raptor | Scrubland | Tinybones, the Pickpocket",1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
"Boseiju, Who Endures | Mox Emerald | Mutavault",-1.0
"Carrot Cake | Phelia, Exuberant Shepherd | Remote Farm",1.0
Cathedral of War | Chancellor of the Forge | Mental Misstep,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Maze of Ith | Pyrokinesis,1.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Cruelclaw's Heist | Mox Jet | Swamp,0.5
Crystal Vein | Elixir of Immortality | Gingerbrute,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Hammerheim | Heartfire Hero,0.5
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,0.0
Dryad Arbor | Maze of Ith | Mistbreath Elder,1.0
"Emry, Lurker of the Loch | Pyrite Spellbomb | Silverbluff Bridge",1.0
Flash | Saprazzan Skerry | Woodfall Primus,0.0
Forest | Mistbreath Elder | Sunshower Druid,1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",1.0
Glint Hawk | Glint Hawk | Mox Pearl,1.0
Goblin Guide | Lightning Bolt | Mountain,1.0
Hammerheim | Heartfire Hero | Heartfire Hero,1.0
Healer's Hawk | Healer's Hawk | Plains,1.0
Hollow Trees | Nullhide Ferox | Skylasher,1.0
Invasion of Gobakhan | Mishra's Factory | Mox Pearl,0.0
Kulrath Knight | Reanimate | Subterranean Hangar,1.0
Lotus Bloom | Magus of the Moon | Mental Misstep,1.0
Okiba Reckoner Raid | Swamp | Thoughtseize,1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
Sleep-Cursed Faerie | Thoughtseize | Underground Sea,0.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
Aether Vial | Karakas | Mangara of Corondor,-1.0
Ajani Vengeant | Crystal Vein | Tinder Farm,0.0
"Ajani, Nacatl Pariah | Mox Pearl | Rishadan Port",-0.5
Ancient Tomb | Mox Emerald | Words of Wilding,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Ancient Tomb | Time Vault | Voltaic Servant,0.0
Angel of Sanctions | Icatian Store | Ice Floe,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
"Auriok Champion | Phelia, Exuberant Shepherd | Remote Farm",1.0
Bilious Skulldweller | Dreams of Steel and Oil | Swamp,1.0
Blazing Hope | Crawling Chorus | Snow-Covered Plains,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,-0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,-1.0
Cry of Contrition | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Dreadhorde Invasion | Mox Jet | Rishadan Port,-0.5
Dryad Arbor | Jaddi Offshoot | Mistbreath Elder,1.0
"Dryad Arbor | Karakas | Mikaeus, the Lunarch",-1.0
Encroach | Scythe Tiger | Undiscovered Paradise,0.0
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Field of Ruin | Selesnya Sanctuary | Treetop Village,0.5
"Fynn, the Fangbearer | Hickory Woodlot | Kappa Tech-Wrecker",1.0
Giver of Runes | Ocelot Pride | Plains,1.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",-1.0
"Izzet Boilerworks | The Tabernacle at Pendrell Vale | Yidaro, Wandering Monster",-1.0
Karakas | Leyline of Singularity | Student of Warfare,-1.0
Kefnet's Last Word | Living Conundrum | Sand Silos,1.0
Keldon Megaliths | Pithing Needle | Sunken Citadel,1.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,-1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,0.0
Mountain | Storm World | Wayward Guide-Beast,1.0
