Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,1.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,-1.0
Calciform Pools | Island Sanctuary | Mirrex,0.0
Cavern of Souls | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,1.0
Contagion | Dryad Arbor | Unmask,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Daze | Hexdrinker | Tropical Island,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Hexdrinker | Llanowar Reborn | Pick Your Poison,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,-0.5
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
