Opponent Decklist,Result
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,0.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
City of Traitors | Simian Spirit Guide | Stingerback Terror,-1.0
City of Traitors | The Filigree Sylex | Tomb Trawler,0.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dark Ritual | Rotting Regisaur | Swamp,1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",0.0
Ensnaring Bridge | Mirrodin's Core | The Millennium Calendar,1.0
Etched Slith | Mishra's Factory | Mox Jet,1.0
"Eye of Ugin | Thought-Knot Seer | Urborg, Tomb of Yawgmoth",1.0
"Forbidden Orchard | Urborg | Vadmir, New Blood",-1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Forest | Rushwood Grove | Spawnwrithe,1.0
Generous Plunderer | Sandstone Needle | Stasis,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mishra's Factory | Mox Sapphire | Tide Shaper,0.0
Mox Pearl | Plains | Skrelv's Hive,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,1.0
