Opponent Decklist,Result
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Angel of Sanctions | Fountain of Cho | Solitude,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Chancellor of the Forge | Contagion | Grief,-0.5
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Crawling Chorus | Curse of Silence | Plains,0.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Dismember | Forest | Utopia Mycon,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,0.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Legacy's Allure | Saprazzan Skerry | Watcher of Hours,0.5
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
"Mox Pearl | Thalia, Guardian of Thraben | Wasteland",0.0
Plains | Student of Warfare | Unwanted Remake,-1.0
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake,-1.0
