Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-1.0
Arcbound Slith | City of Traitors | Disruptor Flute,0.5
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Scythe Tiger | Thoughtseize,0.5
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,0.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-0.5
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Field of Ruin | Idol of False Gods,0.0
City of Traitors | Idol of False Gods | The Filigree Sylex,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,1.0
Etched Slith | Mishra's Factory | Mox Jet,0.5
Field of Ruin | Sunken Citadel | Treetop Village,0.0
Flash | Gruff Triplets | Saprazzan Skerry,0.0
Get Lost | Remote Farm | White Orchid Phantom,0.5
Guide of Souls | Karakas | Ocelot Pride,1.0
Hollow Trees | Maze of Ith | Outland Liberator,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.5
Ocelot Pride | Plains | Portable Hole,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.0
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,0.5
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-0.5
