Opponent Decklist,Result
Ancient Tomb | Animation Module | Chronomaton,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,0.5
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,-0.5
Blooming Marsh | Crashing Footfalls | Evil Presence,0.0
Channel | Hickory Woodlot | Karn Liberated,1.0
Charming Prince | Leonin Relic-Warder | Remote Farm,1.0
Chronomaton | Karakas | Leyline of Singularity,-1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Gargadon | Sandstone Needle | Wild Magic Surge,1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",1.0
Island | Piracy Charm | Sleep-Cursed Faerie,1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mental Misstep | Pendelhaven | Vault Skirge,1.0
Nether Spirit | Peat Bog | Smallpox,1.0
Augur of Skulls | Mishra's Factory | Mox Jet,1.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Bitterblossom | Feed the Swarm | Peat Bog,1.0
Bitterblossom | Peat Bog | Smallpox,1.0
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,-1.0
Bottomless Vault | Ophiomancer | Tithing Blade,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Pick Your Poison | Savannah,-1.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Undercity Sewers,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,0.0
Chronomaton | Crashing Footfalls | Forest,-1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,0.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Dark Depths | Sunken Citadel | Thespian's Stage,1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Gifted Aetherborn | Peat Bog | Sinkhole,1.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,1.0
