,Result
Aether Vial | Elvish Spirit Guide | Scornful Egotist,1.0
Akroan Horse | Ancient Tomb | Sol Ring,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Bone Shards | Infestation Sage | Swamp,1.0
Bottomless Vault | Coffin Queen | Sheoldred's Edict,-1.0
Bottomless Vault | Encroach | Tomb of Urami,0.0
Bottomless Vault | Murderous Rider | Sheoldred's Edict,-1.0
Crawling Chorus | Karakas | Leyline of Singularity,-0.5
Custody Battle | Flamekin Village | Undiscovered Paradise,0.0
Dismember | Hollow Trees | Quagnoth,-1.0
Drannith Magistrate | Mishra's Factory | Mox Pearl,0.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,-1.0
Dryad Arbor | Dryad Arbor | Pick Your Poison,-1.0
Dwarven Hold | Stingerback Terror | Subterranean Tremors,-1.0
"Dwarven Ruins | Emrakul, the Aeons Torn | Glimpse of Tomorrow",1.0
Foil | Island | Nether Spirit,0.0
"Fury | Mercadian Bazaar | Squee, the Immortal",-1.0
Hammerheim | Heartfire Hero | Heartfire Hero,0.0
Karakas | Leyline of Singularity | Student of Warfare,-0.5
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Memnite | Memnite | Memnite,0.0
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
