Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
City of Traitors | Simian Spirit Guide | Stingerback Terror,-0.5
City of Traitors | The Filigree Sylex | Tomb Trawler,1.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Ensnaring Bridge | Mirrodin's Core | The Millennium Calendar,1.0
"Eye of Ugin | Thought-Knot Seer | Urborg, Tomb of Yawgmoth",1.0
"Forbidden Orchard | Urborg | Vadmir, New Blood",1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Forest | Rushwood Grove | Spawnwrithe,1.0
Generous Plunderer | Sandstone Needle | Stasis,1.0
Mishra's Factory | Mox Sapphire | Tide Shaper,1.0
Mox Pearl | Plains | Skrelv's Hive,1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
Aether Vial | Chancellor of the Tangle | Weathered Sentinels,-1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Bad Moon | Bitterblossom | Peat Bog,1.0
Bayou | Crashing Footfalls | Funeral Charm,0.0
Bayou | Encroach | Hexdrinker,0.0
Bitterblossom | Mox Jet | Rishadan Port,1.0
Bitterblossom | Peat Bog | Smallpox,-1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Karakas | Portable Hole,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,-1.0
Chronomaton | Forest | Pick Your Poison,-1.0
Chronomaton | Island | Piracy Charm,0.0
Chronomaton | Piracy Charm | Snow-Covered Island,0.0
Crashing Footfalls | Evil Presence | Undiscovered Paradise,1.0
Crashing Footfalls | Force Spike | Tropical Island,0.5
Crashing Footfalls | Forest | Pick Your Poison,-1.0
Crashing Footfalls | Funeral Charm | Undiscovered Paradise,0.0
Crashing Footfalls | Piracy Charm | Undiscovered Paradise,0.0
"Crashing Footfalls | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",1.0
Crystal Vein | Leyline of the Guildpact | Scion of Draco,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,0.0
Dreadhorde Invasion | Mox Jet | Mutavault,1.0
Dryad Arbor | Leyline Binding | Leyline of the Guildpact,1.0
Energy Field | Sand Silos | The Millennium Calendar,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Despair | Grief | Memnite,-1.0
Force of Despair | Memnite | Unmask,-1.0
Force of Negation | Lotus Bloom | Skystrike Officer,1.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,-1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,1.0
Mox Jet | Nezumi Shortfang | Rishadan Port,1.0
Phyrexian Dreadnought | Stifle | Svyelunite Temple,-1.0
Pyroblast | Serene Remembrance | Taiga,0.5
Ancient Tomb | Field of Ruin | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
