Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-0.5
Bitterblossom | Mox Jet | Rishadan Port,1.0
Bitterblossom | Peat Bog | Thoughtseize,0.0
Blazing Shoal | Chancellor of the Forge | Chancellor of the Forge,-1.0
Chancellor of the Annex | Field of Ruin | Fountain of Cho,-1.0
Chancellor of the Annex | Fountain of Cho | Ghostly Prison,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Icatian Store | Luminarch Aspirant,-1.0
Chancellor of the Annex | Icatian Store | Path to Exile,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Crack the Earth | Innocent Blood | Undiscovered Paradise,1.0
Crack the Earth | Memnite | Mox Ruby,1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.5
Divine Gambit | Fountain of Cho | Skrelv's Hive,1.0
Hexdrinker | Mox Emerald | Rishadan Port,0.5
Karakas | Leyline of Singularity | Restore Balance,1.0
Memnite | Memnite | Memnite,0.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,0.5
Ancient Tomb | Mox Ruby | Stingerback Terror,0.5
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bilious Skulldweller | Dreams of Steel and Oil | Swamp,-0.5
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,-1.0
Consign to Memory | Phyrexian Dreadnought | Saprazzan Skerry,0.5
Cry of Contrition | Sleep-Cursed Faerie | Undiscovered Paradise,-1.0
Dreadhorde Invasion | Mox Jet | Rishadan Port,0.0
Giver of Runes | Ocelot Pride | Plains,0.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
"Izzet Boilerworks | The Tabernacle at Pendrell Vale | Yidaro, Wandering Monster",0.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Kefnet's Last Word | Living Conundrum | Sand Silos,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Arcbound Slith | Arcbound Slith,0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blinkmoth Nexus | Searslicer Goblin | Simian Spirit Guide,1.0
Bottomless Vault | Unstoppable Slasher | Witch's Vengeance,1.0
Calciform Pools | Hall of Storm Giants | March of Otherworldly Light,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
"Dryad Arbor | Grist, the Hunger Tide | Peat Bog",1.0
Dusk Rose Reliquary | Glint Hawk | Mox Pearl,-1.0
Dwarven Hold | Dwarven Hold | Red Sun's Zenith,1.0
"Eiganjo, Seat of the Empire | Khalni Garden | Reluctant Role Model",0.5
Generous Plunderer | Sandstone Needle | Stasis,0.5
Hidden Strings | Sand Silos | True-Name Nemesis,1.0
Idol of False Gods | Mox Jet | Mutavault,1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sarcomancy | Soured Springs | Tel-Jilad Stylus,0.0
