Opponent Decklist,Result
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",-1.0
Alpine Moon | Inkmoth Nexus | Mountain,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Daze | Icehide Golem | Snow-Covered Island,1.0
Dryad Arbor | Force of Despair | Grief,1.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,0.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Forest | Hexdrinker | Mental Misstep,0.5
Forest | Llanowar Mentor | Vigor,0.0
Gleeful Demolition | Mountain | Voldaren Epicure,0.0
Inkmoth Nexus | Ruins of Oran-Rief | The Filigree Sylex,0.0
Karakas | Meddling Mage | Mox Sapphire,1.0
Mox Emerald | Outland Liberator | Rishadan Port,1.0
Nix | Ocelot Pride | Tundra,0.5
Ocelot Pride | Ocelot Pride | Plains,-1.0
Ocelot Pride | Scrubland | Thoughtseize,-0.5
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Radiant Solar | Reanimate | Scrubland,1.0
Alpine Moon | Swarm Shambler | Undiscovered Paradise,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Cabal Therapy | Swarm Shambler,1.0
Cabal Therapy | Chronomaton | Swamp,1.0
Cathedral of War | Inkmoth Nexus | Noxious Revival,0.0
Cenn's Tactician | Icatian Javelineers | Karakas,1.0
Cenn's Tactician | Icatian Javelineers | Snow-Covered Plains,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Cenn's Tactician | Plains | Portable Hole,1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Foil | Moonring Island,1.0
Chancellor of the Tangle | Crashing Footfalls | Hollow Trees,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Chronomaton | Funeral Charm | Snow-Covered Swamp,1.0
Chronomaton | Island | Piracy Charm,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Despair | Grief | Memnite,1.0
Get Lost | Remote Farm | Skrelv's Hive,-1.0
Gleeful Demolition | Rustvale Bridge | Warden of the Inner Sky,0.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,-1.0
In Too Deep | Saprazzan Skerry | Tide Shaper,0.0
Inkmoth Nexus | Karakas | Porphyry Nodes,0.0
Inkmoth Nexus | Noble Hierarch | Pendelhaven,-1.0
"Isamaru, Hound of Konda | Karakas | Porphyry Nodes",0.5
Karakas | Mana Tithe | Solitude,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mayor of Avabruck | Mox Emerald | Mutavault,-1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,0.0
Mind Rake | Mishra's Factory | Mox Jet,1.0
"Mox Pearl | Thalia, Guardian of Thraben | Volatile Fault",0.0
Phyrexian Dreadnought | Saprazzan Skerry | Stifle,0.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Ancient Tomb | Animation Module | Chronomaton,0.5
Ancient Tomb | Magus of the Moon | Mox Ruby,0.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,-1.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bitterblossom | Cabal Therapy | Peat Bog,-1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,-1.0
Blooming Marsh | Crashing Footfalls | Evil Presence,-1.0
Channel | Hickory Woodlot | Karn Liberated,0.0
Charming Prince | Leonin Relic-Warder | Remote Farm,1.0
Chronomaton | Karakas | Leyline of Singularity,1.0
Crashing Footfalls | Path to Exile | Savannah,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
