Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Ancient Tomb | Field of Ruin | Hangarback Walker,-1.0
Ancient Tomb | Hangarback Walker | Steel Overseer,-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",0.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,0.0
Chancellor of the Forge | Foil | Island,-1.0
Cruel Sadist | Encroach | Snow-Covered Swamp,-1.0
Dark Depths | Peat Bog | Vampire Hexmage,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,0.0
Dwarven Hold | Form of the Dragon | Maze of Ith,0.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,1.0
Flash | Saprazzan Skerry | Worldspine Wurm,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,0.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
