Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Verdant Command,-1.0
Archon of Cruelty | Lotus Bloom | Show and Tell,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Blightsteel Colossus | Dwarven Hold | Sneak Attack,1.0
Blinkmoth Nexus | Island Sanctuary | Mox Pearl,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,1.0
Curse of Silence | Hexdrinker | Undiscovered Paradise,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Island | Sleep-Cursed Faerie,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,-1.0
Island | Sleep-Cursed Faerie | Unable to Scream,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-0.5
Mountain | Nether Spirit | Sonic Seizure,0.0
Mox Emerald | Outland Liberator | Wasteland,0.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,-1.0
Agent of Treachery | Flash | Sand Silos,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Blood Knight | Sandstone Needle | Tibalt's Trickery,0.5
"Boseiju, Who Endures | Inkmoth Nexus | Mox Emerald",-1.0
"Boseiju, Who Endures | Llanowar Reborn | Rograkh, Son of Rohgahh",1.0
Bottomless Vault | Bottomless Vault | Doomsday Confluence,1.0
Crawling Chorus | Snow-Covered Plains | Swords to Plowshares,0.5
Crystal Vein | Mana Vault | Thought-Knot Seer,-1.0
Ezio Auditore da Firenze | Peat Bog | Thraximundar,0.0
Flickering Ward | Undiscovered Paradise | Venerated Rotpriest,1.0
Generous Plunderer | Sandstone Needle | Stasis,0.0
Karakas | Ocelot Pride | Ocelot Pride,0.0
"Mishra's Factory | Molten Slagheap | Ob Nixilis, the Adversary",1.0
Ocelot Pride | Storm World | Undiscovered Paradise,1.0
"Phelia, Exuberant Shepherd | Remote Farm | Senu, Keen-Eyed Protector",-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-0.5
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,1.0
"Snuff Out | Swamp | Valentin, Dean of the Vein",0.0
Academy Ruins | Calciform Pools | The Filigree Sylex,0.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,0.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Phyrexian Revoker | Warping Wail,-1.0
Assassin's Trophy | Chancellor of the Forge | Geothermal Crevice,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Curse of Silence | Ocelot Pride | Plains,-0.5
Darksteel Citadel | Ice Floe | The Millennium Calendar,1.0
Daze | Sleep-Cursed Faerie | Volcanic Island,-0.5
Dismember | Hammerheim | Heartfire Hero,-1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-1.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
"Ezio Auditore da Firenze | Morophon, the Boundless | Peat Bog",0.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,1.0
Get Lost | Remote Farm | Skrelv's Hive,1.0
Goblin Guide | Goblin Guide | Mountain,1.0
"Hollow Trees | Song of the Dryads | Wilson, Refined Grizzly",1.0
Ocelot Pride | Ocelot Pride | Plains,0.5
Phyrexian Processor | Planar Nexus | Urza's Tower,-1.0
Bayou | Scythe Tiger | Thoughtseize,-0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,0.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
City of Traitors | Damping Sphere | Steel Overseer,1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,1.0
Hangarback Walker | Inkmoth Nexus | Rishadan Port,0.0
Hickory Woodlot | Maze of Ith | Outland Liberator,-1.0
Hickory Woodlot | Packsong Pup | Packsong Pup,0.5
Inkmoth Nexus | Plains | Portable Hole,-0.5
Karakas | Meddling Mage | Mox Sapphire,-0.5
Mishra's Factory | Rishadan Port | Sunken Citadel,1.0
Mox Pearl | Mutavault | War Priest of Thune,1.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,-1.0
Mox Pearl | Skrelv's Hive | The Seedcore,1.0
Path to Exile | Prairie Dog | Remote Farm,-1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
