Opponent Decklist,Result
Aether Vial | Chancellor of the Annex | Chancellor of the Tangle,0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.5
Baleful Mastery | Dread | Subterranean Hangar,1.0
Bitterblossom | Deep-Cavern Bat | Peat Bog,-0.5
Bitterblossom | Peat Bog | Smallpox,0.0
Cavern of Souls | Chancellor of the Annex | Hex Parasite,0.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,0.0
Cavern of Souls | Meekstone | Swooping Lookout,0.0
Chancellor of the Annex | Fountain of Cho | Solitude,0.0
Chancellor of the Annex | Icatian Store | Solitude,0.0
"Chancellor of the Annex | Jace, Wielder of Mysteries | Saprazzan Cove",0.0
Chancellor of the Annex | Magus of the Moon | Mercadian Bazaar,0.0
Dark Depths | Hollow Trees | Lumbering Megasloth,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.5
Deep-Cavern Bat | Mox Jet | Rishadan Port,-0.5
Deep-Cavern Bat | Peat Bog | Sheoldred's Edict,-0.5
Great Furnace | Mox Jet | Oni-Cult Anvil,-1.0
Gruul Turf | Hellion Crucible | Outland Liberator,0.5
"Jace, Wielder of Mysteries | Karakas | Lotus Bloom",1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
