Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,-1.0
Contagion | Dryad Arbor | Unmask,0.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,-1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,-1.0
Karakas | Leyline of Singularity | Student of Warfare,-0.5
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,-1.0
Prairie Dog | Remote Farm | Skrelv's Hive,0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Demolition Field | Idol of False Gods | Sol Ring,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-0.5
Karakas | Meddling Mage | Mox Sapphire,0.5
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
Mishra's Factory | Mox Pearl | Soul Partition,1.0
Plains | Student of Warfare | Unwanted Remake,1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
