Opponent Decklist,Result
Alpine Moon | Gleeful Demolition | Great Furnace,0.0
Bayou | Funeral Charm | Hexdrinker,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",0.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,-0.5
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chronomaton | Karakas | Path to Exile,-0.5
City of Traitors | Isochron Scepter | Lightning Helix,0.5
City of Traitors | Phyrexian Revoker | The Filigree Sylex,-0.5
Crack the Earth | Crack the Earth | Sandstone Needle,1.0
Dwarven Hold | Pithing Needle | Red Sun's Zenith,1.0
Eater of Days | Karakas | Mishra's Workshop,0.5
Elvish Spirit Guide | Karakas | Mayor of Avabruck,-1.0
Encroach | Hexdrinker | Undiscovered Paradise,-0.5
Hickory Woodlot | Mayor of Avabruck | Mayor of Avabruck,0.5
Karakas | Mana Tithe | Student of Warfare,0.5
"Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben",-1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice,-0.5
