Opponent Decklist,Result
Abrade | Sandstone Needle | Vexing Shusher,1.0
Alpine Moon | Cenn's Tactician | Plateau,-1.0
Alpine Moon | Swarm Shambler | Taiga,-1.0
Approach of the Second Sun | Fountain of Cho | Path to Exile,1.0
Atraxi Warden | Balance | Remote Farm,0.0
Balance | Mox Pearl | Mutavault,-0.5
Bayou | Cabal Therapy | Young Wolf,-0.5
Bitterblossom | Ebon Stronghold | Vebulid,1.0
Blooming Marsh | Crashing Footfalls | Shrieking Affliction,-1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cavern of Souls | Dismember | Swarm Shambler,1.0
Cenn's Tactician | Curse of Silence | Karakas,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chaplain of Alms | Icatian Store | Stroke of Midnight,1.0
City of Traitors | Elixir of Immortality | Lupine Prototype,0.5
City of Traitors | Maze of Ith | Retrofitter Foundry,1.0
City of Traitors | Retrofitter Foundry | Steel Overseer,1.0
City of Traitors | Retrofitter Foundry | The Filigree Sylex,0.0
City of Traitors | Time Vault | Voltaic Servant,-0.5
Crashing Footfalls | Dryad Arbor | Swarm Shambler,0.0
Crashing Footfalls | Forest | Mental Misstep,0.0
Crashing Footfalls | Glistener Elf | Pendelhaven,0.0
Crashing Footfalls | Piracy Charm | Tropical Island,0.0
Crystalline Giant | Lupine Prototype | Mishra's Workshop,1.0
Dryad Arbor | Karakas | Leyline of Singularity,1.0
"Dwarven Hold | Embereth Shieldbreaker | Ulamog, the Infinite Gyre",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Ferropede | Meekstone | Mishra's Workshop,0.0
Force of Despair | Memnite | Unmask,0.0
Fume Spitter | Lupine Prototype | Peat Bog,1.0
Hexdrinker | Shrieking Affliction | Undiscovered Paradise,-1.0
Illusionary Mask | Mishra's Workshop | Phyrexian Dreadnought,1.0
Inkmoth Nexus | Petrified Field | The Tabernacle at Pendrell Vale,1.0
Invasion of Gobakhan | Mox Pearl | Mutavault,-0.5
Karakas | Leyline of Singularity | Sacred Cat,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mind Rake | Mishra's Factory | Mox Jet,-1.0
Mishra's Workshop | Phyrexian Revoker | Wheel of Torture,-1.0
Reality Shift | Sand Silos | Sphinx of the Final Word,1.0
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar,0.5
Sandstone Needle | Steel Overseer | Wild Magic Surge,-0.5
Sandstone Needle | Wild Magic Surge | Wild Magic Surge,0.5
Shrieking Affliction | Swarm Shambler | Undiscovered Paradise,-1.0
