Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Atraxi Warden | Balance | Remote Farm,0.5
Bayou | Hexdrinker | Shrieking Affliction,0.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",-1.0
Bottomless Vault | Murderous Rider | Unearth,0.5
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.5
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",0.5
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Dwarven Hold | Fury,0.5
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,0.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.5
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",0.5
Daze | Island | Sleep-Cursed Faerie,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,0.5
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,0.5
Inkmoth Nexus | Karakas | Leyline of Singularity,0.5
Lotus Bloom | Lotus Bloom | Primordial Hydra,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,0.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,0.5
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,0.5
Sandstone Needle | Shattering Spree | Vexing Shusher,0.5
