Opponent Decklist,Result
Archery Training | Plains | Swooping Lookout,1.0
Banehound | Black Lotus | Smallpox,0.5
Big Game Hunter | Black Lotus | Smallpox,0.0
Black Lotus | Black Lotus | Mistcutter Hydra,1.0
Black Lotus | Chancellor of the Annex | Steel Seraph,-1.0
"Black Lotus | City of Traitors | Jace, Wielder of Mysteries",-1.0
Black Lotus | Dark Depths | Vampire Hexmage,0.0
"Black Lotus | Dark Ritual | Liliana, Waker of the Dead",0.0
Black Lotus | Descent into Avernus | Underhanded Designs,1.0
Black Lotus | Dryad Arbor | Propaganda,1.0
Cavern of Souls | Chronomaton | The Rack,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Annex | Chancellor of the Annex | Fountain of Cho,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Icatian Store | Strip Mine,-1.0
Chancellor of the Annex | Lupine Prototype | Mishra's Workshop,0.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
"Chandra, Awakened Inferno | Dwarven Hold | Vault Skirge",1.0
Crashing Footfalls | Forest | Veil of Summer,1.0
Curse of Silence | Plains | Student of Warfare,0.0
Dark Depths | Mana Crypt | Thespian's Stage,1.0
"Dryad Arbor | Eladamri's Vineyard | Omnath, Locus of Mana",1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",1.0
Llanowar Reborn | Mental Misstep | Scythe Tiger,1.0
Strip Mine | The Rack | The Tabernacle at Pendrell Vale,1.0
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,-1.0
Anointed Peacekeeper | Black Lotus | Wasteland,0.0
Black Lotus | Black Lotus | Brazen Borrower,0.0
Black Lotus | Burning Inquiry | Lupine Prototype,0.0
Black Lotus | Cabal Therapy | Epochrasite,0.0
Black Lotus | Elite Spellbinder | Leyline of Anticipation,-1.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
Black Lotus | Leyline of Anticipation | Liliana's Specter,-1.0
Black Lotus | Leyline of Anticipation | Mage's Attendant,1.0
Black Lotus | Leyline of Anticipation | Mesmeric Fiend,-1.0
Black Lotus | Mental Misstep | Sanctum Prelate,0.0
"Black Lotus | Nils, Discipline Enforcer | Wasteland",1.0
Black Lotus | Nullhide Ferox | Samwise the Stouthearted,1.0
Black Lotus | Phyrexian Dreadnought | Torpor Orb,1.0
Black Lotus | Samwise the Stouthearted | Windborn Muse,1.0
Black Lotus | The Tabernacle at Pendrell Vale | Wrenn and Realmbreaker,1.0
Blackmail | Fourth Bridge Prowler | Swamp,0.0
Blackmail | Swamp | The Rack,0.0
Carnage Tyrant | Hollow Trees | Hollow Trees,1.0
Cathedral of War | Inkmoth Nexus | The Tabernacle at Pendrell Vale,1.0
Cenn's Tactician | Chronomaton | Karakas,1.0
Chancellor of the Forge | Force of Will | Mental Misstep,-1.0
Chancellor of the Forge | Force of Will | Misdirection,-1.0
Chancellor of the Forge | Gemstone Caverns | Minor Misstep,0.0
Chancellor of the Forge | The Tabernacle at Pendrell Vale | Wasteland,1.0
Chronomaton | City of Traitors | The Rack,1.0
City of Traitors | Culling Scales | Inkmoth Nexus,1.0
City of Traitors | Ornithopter | Retrofitter Foundry,1.0
Dryad Arbor | Karakas | Mishra's Factory,1.0
Force of Will | Memnite | Snapback,-1.0
Force of Will | Memnite | Subtlety,-1.0
Force of Will | Misthollow Griffin | Sand Silos,0.0
Force of Will | Misthollow Griffin | Saprazzan Cove,0.0
Force of Will | Storm Crow | Wasteland,0.0
Gemstone Caverns | Gingerbrute | Pure Intentions,1.0
Karakas | Mishra's Factory | Mishra's Factory,1.0
