Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",0.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",1.0
Bayou | Scythe Tiger | Thoughtseize,-1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,1.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Damping Sphere | Soldevi Sentry,1.0
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Disruptor Flute | Steel Overseer,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Dauthi Voidwalker | Dauthi Voidwalker | Peat Bog,1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,1.0
"Disruptor Flute | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Dreadhorde Invasion | Feed the Swarm | Peat Bog,-1.0
Etched Slith | Mishra's Factory | Mox Jet,1.0
Force of Despair | Grief | Memnite,-1.0
Force of Despair | The Tabernacle at Pendrell Vale | Unmask,0.0
"Forest | Grist, Voracious Larva | Young Wolf",1.0
Forest | Mutavault | Pithing Needle,1.0
Hickory Woodlot | Lion Umbra | Steel Overseer,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Island | Pact of the Titan | Stifle,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Isochron Scepter | Lightning Helix | Mana Crypt,1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Memnite | Memnite | Memnite,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
Path to Exile | Plains | Student of Warfare,1.0
Peat Bog | Sorin of House Markov | Vicious Rumors,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Saprazzan Cove | Walking Ballista | Web of Inertia,1.0
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,-1.0
