Opponent Decklist,Result
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-0.5
Angel of Sanctions | Icatian Store | Maze of Ith,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
"Boseiju, Who Endures | Fungal Reaches | Lair of the Hydra",-1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Chancellor of the Forge | Chancellor of the Forge | Pyrokinesis,-1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Curse of Silence | Ocelot Pride | Plains,0.0
Dismember | Hammerheim | Heartfire Hero,-0.5
Dismember | Ocelot Pride | Plains,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Forest | Hexdrinker | Hexdrinker,-0.5
Grove of the Burnwillows | Punishing Fire | Undiscovered Paradise,-1.0
"Icatian Store | Runed Halo | Ulamog, the Infinite Gyre",0.0
Restore Balance | Skrelv's Hive | Undiscovered Paradise,0.5
Scythe Tiger | Thoughtseize | Undiscovered Paradise,0.5
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.5
Aether Vial | Chancellor of the Tangle | Knight of Autumn,1.0
"Ajani, Nacatl Pariah | Boros Garrison | The Tabernacle at Pendrell Vale",1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
"Ancient Tomb | Sandstone Needle | Yidaro, Wandering Monster",1.0
Assassin Initiate | Evil Presence | Swamp,1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
"Cruelclaw's Heist | Mishra's Factory | Urborg, Tomb of Yawgmoth",1.0
Daze | Hexdrinker | Tropical Island,-0.5
Daze | Island | Sleep-Cursed Faerie,0.0
Dryad Arbor | Dryad Arbor | Dryad Arbor,1.0
"Forsaken City | Senu, Keen-Eyed Protector | Valentin, Dean of the Vein",0.0
Get Lost | Island Sanctuary | Remote Farm,0.0
Hexdrinker | Savannah | Unwanted Remake,-0.5
"Jan Jansen, Chaos Crafter | Tinder Farm | Vault of Whispers",1.0
Karakas | Leyline of Singularity | Mutavault,-0.5
Living Conundrum | Mana Vault | Saprazzan Skerry,1.0
Memnite | Memnite | Memnite,1.0
Mox Pearl | Nurturing Pixie | Nurturing Pixie,0.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Ruins Recluse | Rushwood Grove | Swarmyard,1.0
