Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",1.0
Chancellor of the Forge | Contagion | Unmask,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Crawling Chorus | Plains | Unwanted Remake,1.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
Daze | Island | Sleep-Cursed Faerie,1.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Forest | Old-Growth Dryads | Old-Growth Dryads,1.0
Hexdrinker | Mox Emerald | Wasteland,-0.5
Island | Sleep-Cursed Faerie | Wasteland,-0.5
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,1.0
Mox Jet | Nezumi Shortfang | Wasteland,-0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,0.0
Plains | Savannah Lions | Unwanted Remake,1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,1.0
"Blazing Rootwalla | Plateau | Skrelv, Defector Mite",0.0
Cabal Therapist | Shrouded Lore | Swamp,1.0
Crawling Chorus | Karakas | Leyline of Singularity,-0.5
Crystal Vein | Leveler | Mana Vault,0.0
Crystal Vein | Mox Jet | Unstoppable Slasher,0.0
Dryad Arbor | Leyline of Sanctity | Mistbreath Elder,-1.0
Ensnaring Bridge | Sleeper Agent | Subterranean Hangar,1.0
"Eye of Ugin | Inverter of Truth | Urborg, Tomb of Yawgmoth",-1.0
Forest | Healer of the Glade | Mistbreath Elder,1.0
"Garruk, Cursed Huntsman | Lotus Bloom | Lotus Bloom",0.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Hexdrinker | Razorverge Thicket | Unwanted Remake,-0.5
Hickory Woodlot | Verdant Command | Wheel of Sun and Moon,1.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Kabira Crossroads | Providence | Speaker of the Heavens,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.0
Mishra's Factory | Sheltered Valley | Thespian's Stage,1.0
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale,0.0
