Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.5
Alpine Moon | Slippery Bogle | Taiga,1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,1.0
Approach of the Second Sun | Fountain of Cho | Island Sanctuary,-1.0
Assassin's Trophy | Geothermal Crevice | The Tabernacle at Pendrell Vale,0.0
Bloodforged Battle-Axe | Fervent Champion | Sandstone Needle,1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,0.5
City of Traitors | Eldrazi Displacer | Mox Pearl,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Mountain | Stingerback Terror,1.0
"Dwarven Hold | Fury | Squee, the Immortal",-1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",-1.0
"Goblin Lackey | Krenko, Mob Boss | Mountain",1.0
"Hymn to Tourach | Mishra's Factory | Urborg, Tomb of Yawgmoth",1.0
Inkmoth Nexus | Inkmoth Nexus | Sol Ring,1.0
Inkmoth Nexus | Mox Pearl | Path to Exile,0.0
Keldon Megaliths | Keldon Megaliths | Keldon Megaliths,0.0
Memnite | Memnite | Memnite,1.0
Plains | Porphyry Nodes | Restore Balance,0.0
Prairie Dog | Remote Farm | Soul Partition,0.0
Remote Farm | Steel Overseer | Steel Overseer,1.0
