Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.5
Argent Dais | Inkmoth Nexus | Mox Pearl,0.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Basking Rootwalla | Blazing Rootwalla | Taiga,0.5
Cenn's Tactician | Path to Exile | Plains,-0.5
City of Traitors | Disruptor Flute | Idol of False Gods,-0.5
City of Traitors | Drillworks Mole | Sphere of Resistance,-0.5
City of Traitors | Elixir of Immortality | The Filigree Sylex,-0.5
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
City of Traitors | Magus of the Moon | Mox Ruby,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,0.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.5
Dryad Arbor | Force of Despair | Grief,0.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",1.0
Encroach | Leyline of Anticipation | Lotus Petal,0.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Forest | Hexdrinker | Pick Your Poison,0.5
Icatian Store | Island Sanctuary | Luminarch Ascension,1.0
Island | Sleep-Cursed Faerie | Strix Serenade,1.0
"Karakas | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Mox Emerald | Outland Liberator | Rishadan Port,0.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.0
Mox Pearl | Rishadan Port | Skrelv's Hive,0.0
Ocelot Pride | Ocelot Pride | Plains,-0.5
Ocelot Pride | Path to Exile | Plains,-0.5
"Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",1.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-0.5
Remote Farm | Skrelv's Hive | White Orchid Phantom,0.0
Remote Farm | Westfold Rider | White Orchid Phantom,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Hidetsugu Consumes All | Shadowblood Ridge,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Cenn's Tactician | Curse of Silence | Plains,-0.5
Cenn's Tactician | Goldmire Bridge | Path to Exile,0.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,-0.5
Chain of Vapor | Island | Sleep-Cursed Faerie,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,-1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,0.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.0
Daze | Ocelot Pride | Tundra,-0.5
Forest | Leyline of Vitality | Scythe Tiger,1.0
Fountain of Cho | The Tabernacle at Pendrell Vale | The Wandering Emperor,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Greater Gargadon | Plateau | Restore Balance,0.5
Inkmoth Nexus | Mox Jet | Steel Overseer,0.0
"Inkmoth Nexus | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Island | Maze of Ith | Sleep-Cursed Faerie,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
"Phelia, Exuberant Shepherd | Remote Farm | Tax Collector",1.0
Sand Silos | Saprazzan Cove | Trench Behemoth,1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,0.5
Ancient Tomb | Ancient Tomb | Eater of Days,1.0
Ancient Tomb | Imperial Subduer | Mox Pearl,1.0
Bitterblossom | Peat Bog | Smallpox,0.5
Bottomless Vault | Virtus's Maneuver | Walking Ballista,0.5
Cabal Therapist | Storm World | Undiscovered Paradise,1.0
Chancellor of the Forge | Foil | Underground Sea,1.0
Chancellor of the Forge | Foil | Volcanic Island,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,0.0
Chronomaton | Island | Piracy Charm,-0.5
Crashing Footfalls | Piracy Charm | Tropical Island,-0.5
"Crystal Vein | Karn, Scion of Urza | Mana Vault",0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dark Ritual | Phyrexian Crusader | Swamp,0.5
Daze | Island | Sleep-Cursed Faerie,1.0
Dread | Lotus Bloom | Subterranean Hangar,0.0
Flash | Saprazzan Cove | Worldspine Wurm,1.0
Force Spike | Saprazzan Cove | Threads of Disloyalty,1.0
Force of Negation | Living Conundrum | Saprazzan Cove,1.0
Hexdrinker | Stern Dismissal | Tropical Island,0.0
Karakas | Mishra's Factory | Porphyry Nodes,1.0
"Karakas | Rograkh, Son of Rohgahh | Yoshimaru, Ever Faithful",0.0
Leonin Relic-Warder | Remote Farm | Skrelv's Hive,1.0
Nullhide Ferox | Pick Your Poison | Rushwood Grove,1.0
Academy Ruins | Azorius Chancery | The Filigree Sylex,-1.0
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-0.5
Angel of Sanctions | Icatian Store | Maze of Ith,-1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.5
Curse of Silence | Ocelot Pride | Plains,0.0
Endless One | Magus of the Vineyard | Pendelhaven,1.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,0.0
Hickory Woodlot | Outland Liberator | Tender Wildguide,1.0
Living Conundrum | Maze of Ith | Sand Silos,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Scythe Tiger | Thoughtseize | Undiscovered Paradise,0.5
Ancient Tomb | Field of Ruin | Phyrexian Revoker,0.5
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Bitterblossom | Mox Jet | Rishadan Port,0.0
Cavern of Souls | Hexdrinker | Rishadan Port,0.0
Chancellor of the Annex | Icatian Store | Solitude,-1.0
"Chancellor of the Annex | Jace, Wielder of Mysteries | Sand Silos",0.0
Chancellor of the Annex | Memnite | Solitude,-1.0
Deep-Cavern Bat | Mishra's Factory | Mox Jet,0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,0.0
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Mox Jet | Thoughtseize,0.0
Bayou | Hexdrinker | Thoughtseize,0.0
Bayou | Scythe Tiger | Thoughtseize,0.5
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Encroach | Scrubland,0.0
Cenn's Tactician | Pick Your Poison | Savannah,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Dryad Arbor | Force of Despair | Unmask,0.0
Field of Ruin | Hickory Woodlot | Outland Liberator,0.5
High Market | Mox Opal | Sinister Concierge,1.0
Nether Spirit | Peat Bog | Smallpox,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
