Opponent Decklist,Result
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",0.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",-0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,0.5
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,-0.5
City of Traitors | Disruptor Flute | Steel Overseer,-0.5
City of Traitors | Drillworks Mole | Sphere of Resistance,-0.5
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Isochron Scepter | Lightning Helix | Mana Crypt,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",0.0
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake,1.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,0.0
Augur of Skulls | Mishra's Factory | Mox Jet,0.0
Bitterblossom | Feed the Swarm | Peat Bog,1.0
Bitterblossom | Peat Bog | Smallpox,0.0
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Ophiomancer | Tithing Blade,0.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Pick Your Poison | Savannah,0.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-0.5
Chancellor of the Forge | Foil | Undercity Sewers,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,0.0
Chronomaton | Crashing Footfalls | Forest,-1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,0.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Dark Depths | Sunken Citadel | Thespian's Stage,-1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Gifted Aetherborn | Peat Bog | Sinkhole,0.5
Mindlash Sliver | Subterranean Hangar | Tithing Blade,1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Bayou | Hexdrinker | Thoughtseize,-0.5
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",1.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cenn's Tactician | Encroach | Scrubland,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dryad Arbor | Force of Despair | Unmask,0.0
Field of Ruin | Hickory Woodlot | Outland Liberator,0.5
Forest | Hexdrinker | Pick Your Poison,0.0
High Market | Mox Opal | Sinister Concierge,1.0
Nether Spirit | Peat Bog | Smallpox,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.5
"Arcbound Ravager | Mana Crypt | Syr Ginger, the Meal Ender",0.5
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Damping Sphere | Steel Overseer,0.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
Daze | Island | Sleep-Cursed Faerie,0.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,0.5
Hangarback Walker | Inkmoth Nexus | Rishadan Port,0.5
Hickory Woodlot | Maze of Ith | Outland Liberator,1.0
Hickory Woodlot | Packsong Pup | Packsong Pup,1.0
Inkmoth Nexus | Plains | Portable Hole,1.0
Mishra's Factory | Rishadan Port | Sunken Citadel,0.0
Mox Pearl | Mutavault | War Priest of Thune,0.0
Mox Pearl | Portable Hole | Warden of the Inner Sky,1.0
Mox Pearl | Skrelv's Hive | The Seedcore,0.0
Path to Exile | Prairie Dog | Remote Farm,1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
