Opponent Decklist,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Alpine Moon | Scythe Tiger | Taiga,0.5
Bandit's Talent | Mishra's Factory | Mox Jet,0.0
Blazing Rootwalla | Peat Bog | Smallpox,1.0
Blinkmoth Nexus | Orzhov Basilica | Vindicate,0.0
"Bottomless Vault | Imp's Mischief | Valki, God of Lies",1.0
"Bottomless Vault | Liliana, The Last Hope | Wretched Banquet",0.0
Brain Maggot | Mox Jet | Rishadan Port,0.0
Crystal Vein | Mox Emerald | Words of Wilding,0.0
Dismember | Prairie Dog | Remote Farm,0.0
Dryad Arbor | Mental Misstep | Mistbreath Elder,-1.0
Ensoul Artifact | Mistvault Bridge | Mox Sapphire,1.0
Fountain of Cho | Prairie Dog | Starfall Invocation,0.0
Fountain of Cho | The Wandering Emperor | Winds of Abandon,0.0
Ghost Town | Hickory Woodlot | Scute Swarm,1.0
Khalni Garden | Mistbreath Elder | Sunshower Druid,0.0
Leyline of Sanctity | Living Conundrum | Saprazzan Cove,-1.0
Planar Nexus | Urza's Tower | Walking Ballista,1.0
Remote Farm | Skrelv's Hive | Steel Overseer,0.0
Sand Silos | Surge Engine | Welding Jar,1.0
Saprazzan Skerry | Spellstutter Sprite | Unsubstantiate,1.0
