Opponent Decklist,Result
"Aether Vial | Anim Pakal, Thousandth Moon | Pendelhaven",1.0
Ancient Tomb | Dark Depths | Thespian's Stage,1.0
"Ancient Tomb | Davriel, Rogue Shadowmage | Mox Jet",0.0
Bayou | Cabal Therapy | Swarm Shambler,0.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Blazing Shoal | Chancellor of the Forge | Mercadian Bazaar,1.0
Bloodhall Ooze | Swarm Shambler | Taiga,1.0
Castle Ardenvale | Icatian Store | Path to Exile,1.0
Commandeer | Mental Misstep | Misdirection,0.5
Crashing Footfalls | Detention Vortex | Razorverge Thicket,0.0
Crashing Footfalls | Path to Exile | Savannah,0.0
Deep-Cavern Bat | Mox Jet | Mutavault,0.0
"Drop of Honey | Hollow Trees | Nissa, Ascended Animist",1.0
"Dwarven Hold | Fury | Squee, the Immortal",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Field of Ruin | Mishra's Factory | Mox Jet,0.0
Force of Despair | Grief | Memnite,0.0
"Forest | Llanowar Mentor | Ulamog, the Infinite Gyre",0.0
Grove of the Burnwillows | Punishing Fire | Rishadan Port,0.5
Hollow Trees | Nullhide Ferox | Song of the Dryads,1.0
Icatian Store | Leyline of Sanctity | Opalescence,1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,0.0
Memnite | Memnite | Memnite,1.0
Pithing Needle | Retrofitter Foundry | Tolarian Academy,1.0
Aether Membrane | Aether Vial | Chancellor of the Tangle,1.0
Aether Vial | Chancellor of the Tangle | Weathered Sentinels,1.0
Aether Vial | Karakas | Mangara of Corondor,1.0
Alpine Moon | Chronomaton | Mountain,-1.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,-1.0
Ancient Tomb | Ancient Tomb | Eater of Days,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-0.5
Ancient Tomb | Imperial Subduer | Mox Pearl,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Approach of the Second Sun | Fountain of Cho | Wall of Shards,1.0
Augur of Skulls | Mishra's Factory | Mox Jet,0.0
Bayou | Encroach | Hexdrinker,0.0
Bayou | Hexdrinker | Thoughtseize,-0.5
Bayou | Scythe Tiger | Thoughtseize,0.0
Bitterblossom | Feed the Swarm | Peat Bog,-0.5
Bitterblossom | Innocent Blood | Peat Bog,0.0
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Bojuka Bog | Cauldron Familiar | Witch's Oven,1.0
Bottomless Vault | Ophiomancer | Tithing Blade,1.0
Bottomless Vault | Virtus's Maneuver | Walking Ballista,1.0
Cabal Therapist | Storm World | Undiscovered Paradise,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,0.5
Cenn's Tactician | Concealed Courtyard | Funeral Charm,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pick Your Poison | Savannah,0.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,0.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Undercity Sewers,0.0
Chancellor of the Forge | Foil | Underground Sea,0.0
Chancellor of the Forge | Foil | Volcanic Island,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,-1.0
Chronomaton | Crashing Footfalls | Forest,-1.0
Chronomaton | Forest | Pick Your Poison,0.0
Chronomaton | Island | Piracy Charm,1.0
Crashing Footfalls | Evil Presence | Undiscovered Paradise,-1.0
Crashing Footfalls | Force Spike | Tropical Island,-1.0
Crashing Footfalls | Forest | Nature's Claim,-1.0
Crashing Footfalls | Forest | Pick Your Poison,-1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,-1.0
Crashing Footfalls | Piracy Charm | Tropical Island,0.0
"Crashing Footfalls | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",-1.0
"Crystal Vein | Karn, Scion of Urza | Mana Vault",-1.0
Crystal Vein | Leyline of the Guildpact | Scion of Draco,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Mutavault | Void Mirror,1.0
Dark Depths | Peat Bog | Vampire Hexmage,0.5
Dark Depths | Sunken Citadel | Thespian's Stage,0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Dark Ritual | Phylactery Lich | Vault of Whispers,1.0
