Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,0.0
Bayou | Mind Swords | Young Wolf,0.0
Berserk | Chronomaton | Dryad Arbor,1.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
"Bone Shards | Bottomless Vault | Ulamog, the Infinite Gyre",0.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",1.0
City of Traitors | Isochron Scepter | Selesnya Charm,0.0
City of Traitors | Maze of Ith | Retrofitter Foundry,-0.5
Curse of Silence | Hexdrinker | Savannah,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.0
Ensnaring Bridge | Mishra's Workshop | Scepter of Empires,0.0
Flash | Geralf's Mindcrusher | Saprazzan Cove,0.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,-1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mistblade Shinobi | Slither Blade,-1.0
Island | Sleep-Cursed Faerie | Void Snare,-1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend,-1.0
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
