Opponent Decklist,Result
Ancient Ziggurat | Champion of the Parish | Norin the Wary,0.5
Ancient Ziggurat | Galerider Sliver | Virulent Sliver,0.5
Cabal Therapy | Nested Shambler | Swamp,0.5
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
Crack the Earth | Old-Growth Dryads | Taiga,0.0
Cruel Sadist | Shrieking Affliction | Swamp,0.0
Dark Depths | Peat Bog | Vampire Hexmage,1.0
Ghost Quarter | Memnite | Mental Misstep,-1.0
Hollow Trees | Shield Sphere | Untamed Kavu,1.0
Inkmoth Nexus | Inkmoth Nexus | Wasteland,1.0
"Rushwood Grove | Thrun, the Last Troll | Wasteland",1.0
Ancient Tomb | Field of Ruin | The Tabernacle at Pendrell Vale,1.0
Ancient Tomb | Lupine Prototype | Urza's Saga,0.0
Ancient Tomb | Urza's Saga | Void Mirror,0.5
Anointed Peacekeeper | Black Lotus | Leyline of Sanctity,0.0
Ash Zealot | Black Lotus | Built to Smash,0.5
Balance | Black Lotus | Mother of Runes,0.5
Balance | Black Lotus | The Rack,0.0
Barbed Wire | Ensnaring Bridge | Mishra's Workshop,0.5
"Black Lotus | Boseiju, Who Endures | Lodestone Golem",0.0
Black Lotus | Cabal Therapy | Epochrasite,0.0
Black Lotus | City of Traitors | Stormbreath Dragon,0.0
Black Lotus | Elite Spellbinder | Oblivion Ring,0.0
Black Lotus | Empty the Warrens | Samwise the Stouthearted,0.0
"Black Lotus | Emrakul, the Aeons Torn | Show and Tell",-1.0
Black Lotus | Forbidden Orchard | Questing Beast,0.0
Black Lotus | Gideon of the Trials | Icatian Store,0.0
Black Lotus | Karakas | Serra the Benevolent,0.0
"Black Lotus | Lurrus of the Dream-Den | Omnath, Locus of Mana",0.0
Black Lotus | True-Name Nemesis | Wastes,0.0
Blackmail | Death's Shadow | Tarnished Citadel,0.0
Blackmail | Swamp | The Rack,0.0
Carnage Tyrant | Rushwood Grove | The Tabernacle at Pendrell Vale,1.0
Cavern of Souls | Dismember | Hexdrinker,0.0
Cavern of Souls | Hexdrinker | Mental Misstep,-1.0
Chancellor of the Forge | Force of Negation | Snapback,0.0
Chancellor of the Forge | In Too Deep | Sand Silos,0.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",1.0
City of Traitors | Isochron Scepter | Lightning Helix,0.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,0.0
City of Traitors | Phyrexian Revoker | Ratchet Bomb,0.5
City of Traitors | Power Conduit | Urza's Saga,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Death's Shadow | Path to Exile | Tarnished Citadel,1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.5
Everglades | Spawning Pool | The Tabernacle at Pendrell Vale,1.0
Force of Negation | Maze of Ith | Misdirection,0.0
Force of Negation | Misthollow Griffin | Sand Silos,0.0
Gleeful Demolition | Great Furnace | Noxious Revival,0.0
Gravecrawler | Gravecrawler | Swamp,0.0
Hollow Trees | Hollow Trees | Mistcutter Hydra,1.0
"Hollow Trees | Maze of Ith | Thrun, the Last Troll",0.5
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,1.0
Alpine Moon | Gleeful Demolition | Great Furnace,0.0
Badlands | Crack the Earth | Spiteful Hexmage,0.5
Bayou | Funeral Charm | Hexdrinker,0.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Bottomless Vault | Nether Spirit | Smallpox,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.5
Chancellor of the Forge | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-0.5
Chronomaton | Karakas | Path to Exile,0.0
City of Traitors | Phyrexian Revoker | The Filigree Sylex,0.5
Crack the Earth | Crack the Earth | Sandstone Needle,1.0
Dwarven Hold | Pithing Needle | Red Sun's Zenith,1.0
Eater of Days | Karakas | Mishra's Workshop,1.0
Elvish Spirit Guide | Karakas | Mayor of Avabruck,0.0
Encroach | Hexdrinker | Undiscovered Paradise,0.0
Hickory Woodlot | Mayor of Avabruck | Mayor of Avabruck,1.0
Karakas | Mana Tithe | Student of Warfare,0.0
"Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben",0.5
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice,0.5
Anvil of Bogardan | Mishra's Workshop | The Rack,0.5
Archfiend of Spite | Lion's Eye Diamond | Lion's Eye Diamond,0.0
Bayou | Cabal Therapy | Young Wolf,0.5
Bitterblossom | Dark Ritual | Swamp,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Blazing Rootwalla | Lion's Eye Diamond | Necrogoyf,-0.5
Blooming Marsh | Serene Remembrance | Vicious Rumors,1.0
Bottomless Vault | Dark Depths | Vampire Hexmage,1.0
Burning Inquiry | Leyline of Anticipation | Simian Spirit Guide,1.0
Burning Inquiry | Mountain | Nether Spirit,-0.5
Cabal Therapy | Gisa's Bidding | Lion's Eye Diamond,0.0
Cabal Therapy | Lingering Souls | Lion's Eye Diamond,0.0
Cabal Therapy | Snow-Covered Swamp | The Rack,0.0
Cauldron Familiar | Phyrexian Tower | Witch's Oven,1.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Cenn's Tactician | Path to Exile | Plains,0.0
Cenn's Tactician | Pithing Needle | Plains,0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Chancellor of the Forge | Wasteland,-1.0
Chancellor of the Forge | Chronomaton | Wasteland,-0.5
Chancellor of the Forge | Dryad Arbor | Pyrokinesis,-0.5
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Fury | Mental Misstep,-1.0
Chancellor of the Forge | Fury | Wasteland,0.0
Chancellor of the Tangle | Mayor of Avabruck | Wasteland,0.0
Chronomaton | Dismember | Wasteland,0.0
