Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Ancient Tomb | Time Vault | Voltaic Servant,1.0
Bitterblossom | Mox Jet | Rishadan Port,0.0
Bitterblossom | Peat Bog | Thoughtseize,1.0
Chancellor of the Annex | Field of Ruin | Fountain of Cho,0.0
Chancellor of the Annex | Fountain of Cho | Ghostly Prison,-1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Icatian Store | Luminarch Aspirant,-1.0
Chancellor of the Annex | Icatian Store | Path to Exile,-1.0
Chancellor of the Forge | Foil | Island,1.0
Crack the Earth | Innocent Blood | Undiscovered Paradise,0.0
Crack the Earth | Memnite | Mox Ruby,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,-1.0
Divine Gambit | Fountain of Cho | Skrelv's Hive,1.0
Hexdrinker | Mox Emerald | Rishadan Port,-0.5
Karakas | Leyline of Singularity | Restore Balance,0.0
Memnite | Memnite | Memnite,-1.0
