Opponent Decklist,Result
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Cabal Therapist | Hexdrinker,-1.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,0.0
Darksteel Relic | Ensoul Artifact | Saprazzan Skerry,0.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Fear of Lost Teeth | Mox Jet | Wasteland,-1.0
Foil | Island | Wasteland,0.0
Fountain of Cho | Gideon of the Trials | The Tabernacle at Pendrell Vale,-1.0
Icatian Store | Runed Halo | Solitude,0.0
Lodestone Golem | Planar Nexus | Urza's Tower,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Mox Pearl | Prairie Dog,-1.0
Mox Jet | Nezumi Shortfang | Wasteland,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",-1.0
