Opponent Decklist,Result
Aethersphere Harvester | Mutavault | Sol Ring,1.0
Akroan Horse | Icatian Store | Overencumbered,1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Alpine Moon | Ocelot Pride | Undiscovered Paradise,-1.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,-0.5
Ancient Tomb | Steel Overseer | Thorn of Amethyst,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Bandit's Talent | Blinkmoth Nexus | Mox Jet,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Blast Zone | Fountainport | Sunken Citadel,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Chancellor of the Forge | Foil | Island,0.0
Dwarven Hold | Magus of the Moon | Pyrokinesis,0.0
Hexdrinker | Thoughtseize | Undiscovered Paradise,0.0
Living Conundrum | Maze of Ith | Sand Silos,0.0
Ocelot Pride | Plains | Porphyry Nodes,-1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",0.0
Prairie Dog | Remote Farm | Skrelv's Hive,0.0
