Opponent Decklist,Result
Abu Ja'far | Mistbreath Elder | Undiscovered Paradise,0.5
"Ajani, Nacatl Pariah | Boseiju, Who Endures | Selesnya Sanctuary",1.0
"Ajani, Nacatl Pariah | Get Lost | Remote Farm",0.0
Akoum Hellhound | Blazing Rootwalla | Undiscovered Paradise,1.0
Ancient Tomb | Hickory Woodlot | Nullhide Ferox,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Blinkmoth Nexus | Cathedral of War | Hex Parasite,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
Celestial Flare | Remote Farm | Skrelv's Hive,1.0
Chancellor of the Forge | Foil | Island,1.0
Cruel Sadist | Swamp | Thoughtseize,-1.0
Daze | Hexdrinker | Tropical Island,1.0
Dryad Arbor | Force of Vigor | Mistbreath Elder,0.5
Flash | Gruff Triplets | Saprazzan Skerry,0.0
Hammerheim | Heartfire Hero | Lightning Bolt,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-0.5
Ocelot Pride | Scrubland | Snuff Out,-1.0
