Opponent Decklist,Result
Ancient Den | Dryad Arbor | Dusk Rose Reliquary,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Anointed Peacekeeper | Plains | Sol Ring,1.0
Bitterblossom | Mox Jet | Volatile Fault,-1.0
Cenn's Tactician | Daze | Tundra,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chain of Smog | Mox Jet | Mutavault,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
Chancellor of the Forge | Foil | Island,1.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",-1.0
Chronomaton | Karakas | Leyline of Singularity,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Force of Negation | Memnite | Misdirection,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Hatchery Sliver | Hollow Trees | Virulent Sliver,1.0
Hexdrinker | Mox Emerald | Volatile Fault,-1.0
Lotus Bloom | Lotus Bloom | Valkyrie Harbinger,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Mox Emerald | Outland Liberator | Volatile Fault,-1.0
Mox Emerald | Swarm Shambler | Volatile Fault,-1.0
Snow-Covered Mountain | Taste for Mayhem | Vault Skirge,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Bad Moon | Bitterblossom | Peat Bog,-1.0
Bayou | Crashing Footfalls | Funeral Charm,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,1.0
Cenn's Tactician | Karakas | Portable Hole,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,-1.0
Chronomaton | Island | Piracy Charm,0.0
Chronomaton | Piracy Charm | Snow-Covered Island,0.0
Crashing Footfalls | Funeral Charm | Undiscovered Paradise,-1.0
Crashing Footfalls | Piracy Charm | Undiscovered Paradise,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Despair | Grief | Memnite,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,1.0
Mox Jet | Nezumi Shortfang | Rishadan Port,-1.0
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Angel of Sanctions | Icatian Store | Maze of Ith,1.0
Azure Beastbinder | Mana Drain | Saprazzan Skerry,1.0
Bandit's Talent | Mishra's Factory | Mox Jet,1.0
Bandit's Talent | Mox Jet | Mutavault,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,-1.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,1.0
Daze | Hexdrinker | Tropical Island,1.0
Drop of Honey | Hollow Trees | Tender Wildguide,1.0
Force of Vigor | Hollow Trees | Nullhide Ferox,1.0
Karakas | Leyline of Singularity | Ocelot Pride,-1.0
Riftwing Cloudskate | Saprazzan Skerry | Star Whale,-1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-1.0
"Alpine Moon | Cavern of Souls | Ragavan, Nimble Pilferer",-1.0
Ancient Tomb | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Bloodhall Ooze | Geothermal Crevice | Winding Constrictor,0.0
Bottomless Vault | Hollow Trees | Vraska the Unseen,1.0
Broadside Bombardiers | Great Furnace | Mana Crypt,1.0
Cavern of Souls | Scythe Tiger | Wayward Guide-Beast,-1.0
"Chain of Vapor | Jace, Wielder of Mysteries | Saprazzan Cove",1.0
Chancellor of the Annex | Chancellor of the Annex | Icatian Store,1.0
Chancellor of the Annex | Chancellor of the Forge | Shining Shoal,1.0
Chancellor of the Annex | Council's Judgement | Icatian Store,1.0
Chancellor of the Annex | Demolition Field | Icatian Store,-1.0
Chancellor of the Annex | Fountain of Cho | Solitude,1.0
Chancellor of the Annex | Icatian Store | Path to Exile,1.0
Chancellor of the Annex | Icatian Store | Solitude,1.0
Chancellor of the Forge | Ego Drain | Swamp,1.0
Chaplain of Alms | Fountain of Cho | Secure the Wastes,1.0
Cruel Sadist | Training Grounds | Underground Sea,1.0
Karakas | Leyline of Singularity | Sacred Cat,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mox Emerald | Outland Liberator | Rishadan Port,-1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Ancient Tomb | Field of Ruin | Hangarback Walker,-1.0
Ancient Tomb | Hangarback Walker | Steel Overseer,-1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,-1.0
Arcbound Ravager | Field of Ruin | Mana Crypt,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,0.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,0.0
Cruel Sadist | Encroach | Snow-Covered Swamp,0.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Dwarven Hold | Form of the Dragon | Maze of Ith,1.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,-1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,-1.0
Aether Vial | Karakas | Mangara of Corondor,1.0
Assassin's Trophy | Geothermal Crevice | Reckless Waif,-1.0
Augur of Skulls | Dark Ritual | Swamp,1.0
City of Traitors | Elixir of Immortality | Hangarback Walker,-1.0
City of Traitors | Field of Ruin | Hangarback Walker,-1.0
City of Traitors | Hangarback Walker | Hangarback Walker,-1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,1.0
Crack the Earth | Forge Devil | Sandstone Needle,0.0
Energy Field | Island | Mutavault,1.0
Field of Ruin | Hangarback Walker | Sol Ring,-1.0
Fountain of Cho | Porphyry Nodes | The Wandering Emperor,1.0
Inkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Innocent Blood | Sacred Cat | Scrubland,1.0
Invisible Stalker | Reality Shift | Saprazzan Skerry,1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",1.0
Leyline of Sanctity | Remote Farm | Skrelv's Hive,-1.0
"Lightning Bolt | Mercadian Bazaar | Squee, the Immortal",1.0
"Liliana, The Last Hope | Subterranean Hangar | Vadmir, New Blood",1.0
Lore Broker | Saprazzan Skerry | Tide Shaper,-1.0
Prairie Dog | Remote Farm | Swarmyard,1.0
