Opponent Decklist,Result
Ancient Tomb | Chalice of the Void | Phyrexian Revoker,-1.0
Ancient Tomb | Eye of Ugin | Thought-Knot Seer,-1.0
"Boseiju, Who Endures | Gruul Turf | Wrenn and Six",-1.0
"Boseiju, Who Endures | Hexdrinker | Selesnya Sanctuary",-1.0
Cho-Arrim Legate | Evil Presence | Scrubland,1.0
Chromatic Orrery | Door to Nothingness | Saprazzan Cove,0.0
"Containment Priest | Phelia, Exuberant Shepherd | Remote Farm",-1.0
"Crystal Vein | Karn, Living Legacy | Mana Vault",1.0
Curse of Silence | Karakas | Leyline of Singularity,0.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Foil | Island | Rishadan Dockhand,0.0
Gemstone Mine | Portable Hole | Restore Balance,0.5
Grief | Swamp | Undying Evil,0.0
Guide of Souls | Norin the Wary | Undiscovered Paradise,-1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,-1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Karakas | Ocelot Pride | Path to Exile,0.0
Memnite | Memnite | Memnite,1.0
Mother of Runes | Ocelot Pride | Plains,-1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",0.5
Path to Exile | Remote Farm | Skrelv's Hive,-1.0
