Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mutavault",0.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,1.0
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,1.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,-1.0
Cavern of Souls | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Contagion | Dryad Arbor | Unmask,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Daze | Hexdrinker | Tropical Island,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,-1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,1.0
Isochron Scepter | Mana Crypt | Verdant Command,0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
