Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
"Ajani, Nacatl Pariah | Divine Gambit | Remote Farm",1.0
"Ajani, Nacatl Pariah | Portable Hole | Remote Farm",1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Ancient Tomb | Phyrexian Revoker | Phyrexian Revoker,-1.0
Azure Beastbinder | Saprazzan Skerry | Tide Shaper,-1.0
Blast Zone | Keldon Megaliths | Sunken Citadel,-1.0
Cleansing Wildfire | Mishra's Factory | Mox Ruby,0.0
Contagion | Dryad Arbor | Unmask,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,1.0
Dark Ritual | Swamp | Unstoppable Slasher,-1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mishra's Factory | Mox Pearl | Skrelv's Hive,-1.0
Prairie Dog | Remote Farm | Skrelv's Hive,-1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Ajani Vengeant | Ancient Tomb | Tinder Farm,-1.0
Akoum Warrior | Akoum Warrior | Glimpse of Tomorrow,-1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Idol of False Gods | The Filigree Sylex,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,-1.0
Assassin Initiate | Inquisition of Kozilek | Urborg,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Blazing Rootwalla | Restore Balance | Undiscovered Paradise,-1.0
Blinding Angel | Mana Vault | Remote Farm,1.0
Dismember | Eldrazi Temple | Idol of False Gods,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Dryad Arbor | Dryad Arbor | Fishing Pole,1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,1.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,-1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,-1.0
Field of Ruin | Idol of False Gods | Sol Ring,0.0
Field of Ruin | Remote Farm | Skrelv's Hive,-1.0
Field of Ruin | Sandstone Needle | Stingerback Terror,-1.0
Gilded Drake | Homeward Path | Mox Sapphire,1.0
Hickory Woodlot | Outland Liberator | Twitching Doll,-1.0
Icatian Store | Solitude | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,1.0
Island | Sleep-Cursed Faerie | Sleep-Cursed Faerie,-1.0
Lair of the Hydra | Llanowar Mentor | Vigor,1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,1.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
"Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry",-1.0
Nether Spirit | Peat Bog | Smallpox,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
Plains | Student of Warfare | Unwanted Remake,1.0
