,Result
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Field of Ruin | Phyrexian Revoker,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Angel of Sanctions | Icatian Store | Solitude,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,-1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Demolition Field | Idol of False Gods | Sol Ring,0.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Idol of False Gods | Mishra's Foundry | Sol Ring,0.0
Island | Mental Misstep | Sleep-Cursed Faerie,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",-1.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
Ancient Tomb | Dismember | Phyrexian Revoker,1.0
Ancient Tomb | Lodestone Golem | Mana Vault,1.0
Angel of Sanctions | Fountain of Cho | Solitude,-1.0
Crawling Chorus | Sea's Claim | Tundra,0.0
Dismember | Eldrazi Temple | Idol of False Gods,1.0
Eldrazi Temple | Idol of False Gods | Mental Misstep,1.0
Gemstone Mine | Greater Gargadon | Restore Balance,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",0.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",0.0
Living Conundrum | Mental Misstep | Sand Silos,-1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",1.0
Peat Bog | Smallpox | Tribute to Horobi,0.0
Prairie Dog | Prairie Dog | Remote Farm,-1.0
Sarcomancy | Swamp | Tel-Jilad Stylus,-1.0
