Opponent Decklist,Result
Alpine Moon | Sandstone Needle | Stromkirk Noble,1.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Bazaar of Baghdad | Bottomless Vault | Vengeful Pharaoh,1.0
Chancellor of the Annex | Chancellor of the Forge | Solitude,1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Daze | Sacred Cat | Tundra,1.0
Flash | Gruff Triplets | Saprazzan Skerry,1.0
Golgari Rot Farm | Hex Parasite | Maze of Ith,0.0
"Inkmoth Nexus | Smallpox | Urborg, Tomb of Yawgmoth",1.0
Kabira Crossroads | Providence | Speaker of the Heavens,1.0
Karakas | Luminarch Aspirant | Mox Pearl,-1.0
"Karakas | Mox Pearl | Thalia, Guardian of Thraben",1.0
"Lightning Bolt | Mountain | Ragavan, Nimble Pilferer",0.0
Mother of Runes | Secluded Courtyard | Stormscape Apprentice,1.0
