Opponent Decklist,Result
Ancient Tomb | Hope of Ghirapur | Shadowspear,1.0
"Anim Pakal, Thousandth Moon | Great Hall of the Citadel | Sol Ring",-1.0
Animating Faerie | City of Traitors | Mox Diamond,1.0
"Ayula, Queen Among Bears | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Capricious Efreet | Dwarven Hold | Fireball,0.0
Chancellor of the Forge | Karakas | Mana Tithe,1.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",-1.0
Eldrazi Displacer | Eldrazi Temple | Plains,1.0
Forest | Helix Pinnacle | Pick Your Poison,-1.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Hatchery Sliver | Hollow Trees | Pick Your Poison,-1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,-1.0
"Mercadian Bazaar | Squee, the Immortal | Tibalt's Trickery",1.0
"Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
Peat Bog | Reassembling Skeleton | Sheoldred's Edict,0.0
Portable Hole | Remote Farm | Skrelv's Hive,-1.0
"The Tabernacle at Pendrell Vale | Treetop Village | Yavimaya, Cradle of Growth",0.5
