Opponent Decklist,Result
"Ajani, Nacatl Pariah | Karakas | Mutavault",-1.0
Alpine Moon | Hammerheim | Heartfire Hero,-1.0
Ancient Tomb | Drillworks Mole | Sphere of Resistance,0.5
Bloodhall Ooze | Leyline of the Guildpact | The Tabernacle at Pendrell Vale,0.0
Blooming Marsh | Hexdrinker | Ruthless Negotiation,-1.0
Calciform Pools | Island Sanctuary | Mirrex,1.0
Contagion | Dryad Arbor | Unmask,0.5
Crystal Vein | Elite Spellbinder | Mox Pearl,-0.5
Daze | Hexdrinker | Tropical Island,0.5
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
Hexdrinker | Llanowar Reborn | Pick Your Poison,0.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,1.0
Isochron Scepter | Mana Crypt | Verdant Command,1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,-1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
