Opponent Decklist,Result
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,-1.0
Bad Moon | Bitterblossom | Peat Bog,1.0
Bayou | Crashing Footfalls | Funeral Charm,-1.0
Bitterblossom | Mox Jet | Rishadan Port,0.5
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chronomaton | Island | Piracy Charm,0.0
Chronomaton | Piracy Charm | Snow-Covered Island,0.0
Crashing Footfalls | Funeral Charm | Undiscovered Paradise,-1.0
Crashing Footfalls | Piracy Charm | Undiscovered Paradise,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Force of Despair | Grief | Memnite,0.0
Forest | Hexdrinker | Pick Your Poison,1.0
Island | Sleep-Cursed Faerie | Weakstone's Subjugation,0.0
Mox Jet | Nezumi Shortfang | Rishadan Port,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Cenn's Tactician | Scrubland | Thoughtseize,0.5
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Field of Ruin | Hangarback Walker,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Hex Parasite | Karakas | Portable Hole,1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Mishra's Factory | Mox Emerald | Outland Liberator,1.0
Portable Hole | Prairie Dog | Remote Farm,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
