Opponent Decklist,Result
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,1.0
Augur of Skulls | Mishra's Factory | Mox Jet,1.0
Bayou | Scythe Tiger | Thoughtseize,0.0
Bitterblossom | Feed the Swarm | Peat Bog,0.0
Bitterblossom | Peat Bog | Smallpox,0.0
Blightsteel Colossus | Energy Field | Sand Silos,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Bottomless Vault | Ophiomancer | Tithing Blade,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Pick Your Poison | Undiscovered Paradise,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Undercity Sewers,-1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,1.0
Chronomaton | Crashing Footfalls | Forest,1.0
Crashing Footfalls | Pick Your Poison | Snow-Covered Forest,1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Dark Depths | Sunken Citadel | Thespian's Stage,-1.0
"Energy Field | Sand Silos | Ulamog, the Ceaseless Hunger",1.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Gifted Aetherborn | Peat Bog | Sinkhole,-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mindlash Sliver | Subterranean Hangar | Tithing Blade,-1.0
Reality Shift | Saprazzan Skerry | Watcher of Hours,0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,-1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Bayou | Hexdrinker | Thoughtseize,0.0
"Bottomless Vault | Ghalta and Mavren | Sorin, Imperious Bloodlord",-1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Cenn's Tactician | Encroach | Scrubland,-0.5
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Dryad Arbor | Force of Despair | Unmask,-1.0
Field of Ruin | Hickory Woodlot | Outland Liberator,-1.0
Forest | Hexdrinker | Pick Your Poison,0.5
High Market | Mox Opal | Sinister Concierge,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,0.0
Nether Spirit | Peat Bog | Smallpox,0.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
