Opponent Decklist,Result
Ancient Tomb | Isochron Scepter | Warping Wail,1.0
Bilious Skulldweller | Elixir of Immortality | Geothermal Crevice,0.0
Bitterblossom | Peat Bog | Thoughtseize,-0.5
Braid of Fire | Red Sun's Zenith | Sandstone Needle,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Annex | Field of Ruin | Icatian Store,-0.5
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Dryad Arbor | Inkmoth Nexus | Pick Your Poison,0.0
Duskwielder | Paralyze | Swamp,0.0
Energy Field | Irrigation Ditch | Soltari Foot Soldier,0.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,-0.5
"Great Furnace | Krenko, Baron of Tin Street | Mana Crypt",-0.5
Inkmoth Nexus | Mox Jet | Nezumi Shortfang,-1.0
Inkmoth Nexus | Sol Ring | Steel Overseer,1.0
Karakas | Righteousness | Speaker of the Heavens,1.0
Luminarch Aspirant | Ornithopter | Remote Farm,0.0
Nether Spirit | Peat Bog | Smallpox,1.0
Sunken Citadel | Sunken Citadel | Tomb of Urami,0.0
