Opponent Decklist,Result
Black Lotus | Channel | Karn Liberated,0.0
"Black Lotus | Channel | Ulamog, the Infinite Gyre",0.0
Black Lotus | Gideon of the Trials | Pact of Negation,0.0
"Black Lotus | Leonin Squire | Tourach, Dread Cantor",0.0
Black Lotus | Mayor of Avabruck | Mental Misstep,1.0
Blackmail | Death's Shadow | Tarnished Citadel,0.0
Chalice of the Void | City of Traitors | Lupine Prototype,0.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,1.0
Chancellor of the Forge | Chancellor of the Forge | Leyline of the Meek,1.0
Chancellor of the Forge | Foil | Island,0.0
City of Traitors | Dark Depths | Thespian's Stage,-1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,0.0
City of Traitors | Retrofitter Foundry | Sphere of Resistance,0.0
Daze | Hexdrinker | Tropical Island,0.0
Energy Field | Sleeper Agent | Sulfur Vent,1.0
"Forced Adaptation | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,-1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",-1.0
"Ajani, Nacatl Pariah | Remote Farm | Soul Partition",0.0
Alpine Moon | Hammerheim | Heartfire Hero,1.0
Ancient Tomb | Elixir of Immortality | The Filigree Sylex,-0.5
Ancient Tomb | Isochron Scepter | Lazotep Plating,0.0
Ancient Tomb | Isochron Scepter | Lightning Helix,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Battle of Wits | Mental Misstep | Sand Silos,1.0
Bayou | Hexdrinker | Inquisition of Kozilek,1.0
Blinkmoth Nexus | Mox Pearl | Reluctant Role Model,0.5
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,1.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,0.0
Crawling Chorus | Plains | Unwanted Remake,-0.5
Crystal Vein | Mana Vault | Thought-Knot Seer,1.0
Crystal Vein | Mox Emerald | Words of Wilding,0.0
Curse of Silence | Hexdrinker | Savannah,1.0
