Opponent Decklist,Result
Academy Researchers | Eldrazi Conscription | Lotus Bloom,1.0
"Ajani, Nacatl Pariah | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Ancient Tomb | Mox Ruby | Stingerback Terror,0.0
Ancient Tomb | Phyrexian Revoker | Steel Overseer,0.0
Ancient Tomb | Steel Overseer | Steel Overseer,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,0.0
Bilious Skulldweller | Swamp | Swarmyard,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",0.0
"Braids, Cabal Minion | Dreadship Reef | Dunes of the Dead",0.0
Calciform Pools | Living Conundrum | Mishra's Factory,-1.0
Cruel Sadist | Ruthless Negotiation | Swamp,1.0
Dunes of the Dead | Mox Emerald | Scythe Tiger,0.0
"Dwarven Hold | Pyrokinesis | Squee, the Immortal",-1.0
Encroach | Okiba Reckoner Raid | Swamp,0.0
Forest | Hexdrinker | Mental Misstep,1.0
Gleeful Demolition | Leyline of the Meek | Mox Ruby,0.0
Icatian Store | Leonin Warleader | Preeminent Captain,-1.0
Icatian Store | Martial Coup | Temporary Lockdown,-1.0
Llanowar Mentor | Pick Your Poison | Undiscovered Paradise,0.0
Mutavault | Plains | Skrelv's Hive,-1.0
Myr Servitor | Myr Servitor | Sheltered Valley,-1.0
Reanimate | Swamp | Troll of Khazad-dûm,0.0
