Opponent Decklist,Result
Archery Training | Plains | Swooping Lookout,1.0
Banehound | Black Lotus | Smallpox,1.0
Barren Glory | Black Lotus | Black Lotus,-1.0
Big Game Hunter | Black Lotus | Smallpox,1.0
Black Lotus | Black Lotus | Mistcutter Hydra,-1.0
Black Lotus | Chancellor of the Annex | Steel Seraph,1.0
"Black Lotus | City of Traitors | Jace, Wielder of Mysteries",-1.0
Black Lotus | Dark Depths | Vampire Hexmage,-1.0
"Black Lotus | Dark Ritual | Liliana, Waker of the Dead",0.0
Black Lotus | Descent into Avernus | Underhanded Designs,-1.0
Black Lotus | Dryad Arbor | Propaganda,1.0
Cavern of Souls | Chronomaton | The Rack,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Annex | Chancellor of the Annex | Fountain of Cho,1.0
Chancellor of the Annex | Fountain of Cho | Path to Exile,-1.0
Chancellor of the Annex | Icatian Store | Strip Mine,-1.0
Chancellor of the Annex | Lupine Prototype | Mishra's Workshop,1.0
"Chandra, Awakened Inferno | Dwarven Hold | Vault Skirge",1.0
Crashing Footfalls | Forest | Veil of Summer,1.0
Curse of Silence | Plains | Student of Warfare,1.0
Dark Depths | Mana Crypt | Thespian's Stage,-1.0
"Dryad Arbor | Eladamri's Vineyard | Omnath, Locus of Mana",1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Llanowar Reborn | Mental Misstep | Scythe Tiger,1.0
Strip Mine | The Rack | The Tabernacle at Pendrell Vale,0.0
Aether Vial | Chancellor of the Tangle | Endurance,0.5
Alpine Moon | Goblin Vandal | Mountain,1.0
Alpine Moon | Swarm Shambler | Undiscovered Paradise,1.0
Ancient Den | Dryad Arbor | Dusk Rose Reliquary,1.0
Ancient Tomb | Hangarback Walker | Warping Wail,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Ancient Tomb | Steel Golem | Warping Wail,1.0
Angel of Sanctions | Icatian Store | Solitude,1.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,1.0
Anointed Peacekeeper | Plains | Sol Ring,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Bayou | Cabal Therapy | Swarm Shambler,-1.0
Bitterblossom | Mishra's Factory | Mox Jet,-1.0
Bitterblossom | Mox Jet | Volatile Fault,-1.0
Bloodghast | Bone Shards | Undiscovered Paradise,1.0
Bottomless Vault | Murderous Rider | Noxious Revival,0.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Cenn's Tactician | Daze | Tundra,1.0
Cenn's Tactician | Path to Exile | Plains,0.0
Chain of Smog | Mishra's Factory | Mox Jet,-1.0
Chain of Smog | Mox Jet | Mutavault,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Foil | Moonring Island,1.0
