Opponent Decklist,Result
Alpine Moon | Hexdrinker | Undiscovered Paradise,0.5
Boros Garrison | Ensnaring Bridge | Keldon Megaliths,-1.0
Cavern of Souls | Hexdrinker | Mana Crypt,0.5
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Pyrokinesis | Wasteland,-0.5
Crystal Vein | Mox Jet | Unstoppable Slasher,0.0
Dark Ritual | Rotting Regisaur | Swamp,0.5
Daze | Island | Sleep-Cursed Faerie,0.0
Dismember | Dryad Arbor | Wasteland,0.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,0.0
Forest | Hexdrinker | Nullhide Ferox,0.5
Haywire Mite | Thornglint Bridge | Unwanted Remake,0.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Abu Ja'far | Cenn's Tactician | Plains,0.0
"Ajani, Nacatl Pariah | Boseiju, Who Endures | Selesnya Sanctuary",1.0
"Ancient Tomb | Auntie Blyte, Bad Influence | Mox Ruby",0.5
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Arc Blade | Lotus Bloom | Maze of Ith,0.0
Blinkmoth Nexus | Inkmoth Nexus | Pendelhaven,-1.0
Cenn's Tactician | Divest | Undiscovered Paradise,0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Crystalline Giant | Darksteel Citadel | Mana Vault,1.0
Daze | Island | Siren Stormtamer,0.5
Dryad Arbor | Dryad Arbor | Pick Your Poison,0.0
Escape Detection | Hookblade Veteran | Island,0.5
Grove of the Burnwillows | Mutavault | Punishing Fire,-1.0
Hollow Trees | Leyline of Sanctity | Lumbering Megasloth,1.0
Hollow Trees | Nullhide Ferox | Pick Your Poison,1.0
Inkmoth Nexus | Ruins of Oran-Rief | The Tabernacle at Pendrell Vale,-1.0
Karakas | Rise and Shine | Tanglepool Bridge,1.0
Lotus Petal | Plains | Skrelv's Hive,0.0
Ocelot Pride | Path to Exile | Plains,0.0
Raging Ravine | Sunken Citadel | Sunken Citadel,-1.0
