Opponent Decklist,Result
Ancient Tomb | Lupine Prototype | Urza's Saga,-1.0
Ancient Tomb | Urza's Saga | Void Mirror,-1.0
Anointed Peacekeeper | Black Lotus | Leyline of Sanctity,1.0
Ash Zealot | Black Lotus | Built to Smash,1.0
Black Lotus | Cabal Therapy | Epochrasite,1.0
Black Lotus | Gideon of the Trials | Icatian Store,1.0
Black Lotus | Karakas | Serra the Benevolent,1.0
"Black Lotus | Lurrus of the Dream-Den | Omnath, Locus of Mana",1.0
Blackmail | Swamp | The Rack,1.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Cavern of Souls | Dismember | Hexdrinker,-1.0
Cavern of Souls | Hexdrinker | Mental Misstep,-1.0
Chancellor of the Forge | In Too Deep | Sand Silos,0.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",-1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Phyrexian Revoker | Ratchet Bomb,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Death's Shadow | Path to Exile | Tarnished Citadel,-1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.0
Hollow Trees | Hollow Trees | Mistcutter Hydra,-1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,-1.0
Abrade | Mogg War Marshal | Sandstone Needle,-1.0
Akroan Horse | Lotus Petal | Mishra's Workshop,1.0
Anvil of Bogardan | Blazing Rootwalla | City of Traitors,1.0
Balance | Plains | Simian Spirit Guide,1.0
Basking Rootwalla | Bazaar of Baghdad | Bridge from Below,0.0
Bayou | Cabal Therapy | Scythe Tiger,-1.0
Bayou | Hexdrinker | Shrieking Affliction,-1.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,-1.0
Chancellor of the Forge | Chronomaton | Quicksand,-1.0
Chancellor of the Forge | Fury | Sandstone Needle,0.0
City of Traitors | Isochron Scepter | Verdant Command,1.0
City of Traitors | Isochron Scepter | Witherbloom Command,1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
City of Traitors | Thespian's Stage | Urza's Saga,-1.0
Conjurer's Bauble | Lupine Prototype | Mishra's Workshop,-1.0
Crystalline Giant | Mishra's Workshop | Trinisphere,-1.0
Dark Depths | Ebon Stronghold | Vampire Hexmage,-1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,-1.0
Mana Crypt | Scroll of Griselbrand | Urza's Saga,1.0
Memnite | Memnite | Memnite,-1.0
Obstinate Baloth | Obstinate Baloth | Obstinate Baloth,1.0
Sandstone Needle | Shattering Spree | Vexing Shusher,-1.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Banishing Slash | Remote Farm | Skrelv's Hive,0.0
Bayou | Encroach | Hexdrinker,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Jhoira's Toolbox | Umezawa's Jitte,0.0
City of Traitors | Magus of the Moon | Mox Ruby,1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,-1.0
City of Traitors | Saprazzan Skerry | Stoic Sphinx,-1.0
City of Traitors | Time Vault | Voltaic Servant,-1.0
Dark Depths | Sunken Citadel | Thespian's Stage,1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",-1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,-1.0
Fountain of Cho | Path to Exile | Skrelv's Hive,0.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",-1.0
Gilded Drake | Teferi's Isle | Tel-Jilad Stylus,1.0
Healer's Hawk | Karakas | Mana Tithe,-1.0
Inkmoth Nexus | Island Sanctuary | Mox Pearl,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,1.0
Path to Exile | Remote Farm | Skrelv's Hive,0.0
"Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",0.0
