Opponent Decklist,Result
Academy Ruins | Calciform Pools | The Filigree Sylex,-1.0
Ancient Tomb | Isochron Scepter | Lazotep Plating,-1.0
Bayou | Hexdrinker | Inquisition of Kozilek,1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,1.0
"Bottomless Vault | Sheoldred's Edict | Tergrid, God of Fright",-1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Forge | Fury | Mercadian Bazaar,-1.0
Crawling Chorus | Plains | Unwanted Remake,0.0
"Daretti, Ingenious Iconoclast | Generous Plunderer | Sandstone Needle",1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
"Diamond Lion | Ebondeath, Dracolich | Subterranean Hangar",-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
Forest | Old-Growth Dryads | Old-Growth Dryads,1.0
Hexdrinker | Mox Emerald | Wasteland,1.0
Island | Sleep-Cursed Faerie | Wasteland,1.0
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison,0.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",1.0
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie,1.0
Plains | Savannah Lions | Unwanted Remake,1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,0.0
Alpine Moon | Mountain | Stromkirk Noble,1.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,-1.0
Ancient Tomb | Hidetsugu Consumes All | Shadowblood Ridge,0.0
Anointed Peacekeeper | Crystal Vein | Mox Pearl,-1.0
Barren Glory | Lotus Bloom | Lotus Bloom,-1.0
Bayou | Hexdrinker | Thoughtseize,1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",1.0
Cenn's Tactician | Curse of Silence | Plains,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Path to Exile | Snow-Covered Plains,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Island | Maze of Ith | Sleep-Cursed Faerie,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Ocelot Pride | Path to Exile | Plains,1.0
Sand Silos | Saprazzan Cove | Trench Behemoth,-1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-1.0
"Ajani, Nacatl Pariah | Prairie Dog | Remote Farm",-1.0
Ancient Tomb | Magus of the Moon | Simian Spirit Guide,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,-1.0
Angel of Sanctions | Icatian Store | Maze of Ith,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,-1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,1.0
"Boseiju, Who Endures | Fungal Reaches | Lair of the Hydra",-1.0
Chancellor of the Forge | Chancellor of the Forge | Pyrokinesis,0.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,-1.0
Curse of Silence | Ocelot Pride | Plains,1.0
Dismember | Hammerheim | Heartfire Hero,0.0
Dismember | Ocelot Pride | Plains,0.0
Flash | Saprazzan Skerry | Worldspine Wurm,-1.0
Forest | Hexdrinker | Hexdrinker,1.0
Grove of the Burnwillows | Punishing Fire | Undiscovered Paradise,-1.0
"Icatian Store | Runed Halo | Ulamog, the Infinite Gyre",-1.0
Restore Balance | Skrelv's Hive | Undiscovered Paradise,0.0
Scythe Tiger | Thoughtseize | Undiscovered Paradise,-1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,1.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,-1.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,1.0
Cenn's Tactician | Karakas | Mental Misstep,1.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,-1.0
