Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Isochron Scepter | Verdant Command,1.0
Chancellor of the Forge | Foil | Island,0.0
Crystal Vein | Lodestone Golem | Mana Vault,1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Forest | Hexdrinker | Wasteland,-1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Hexdrinker | Mox Emerald | Wasteland,-1.0
Hope of Ghirapur | Wasteland | Welding Jar,0.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove,1.0
Mana Tithe | Plains | Speaker of the Heavens,0.0
Memnite | Snow-Covered Swamp | Specter's Shriek,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mox Pearl | Mutavault | Skrelv's Hive,-1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",1.0
Plains | Student of Warfare | Unwanted Remake,-1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,0.0
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,0.0
Anointed Peacekeeper | Black Lotus | Wasteland,-1.0
Barren Glory | Black Lotus | Black Lotus,-1.0
Black Lotus | Elite Spellbinder | Leyline of Anticipation,0.0
Black Lotus | Gideon of the Trials | Pact of Negation,-1.0
Black Lotus | Leyline of Anticipation | Liliana's Specter,0.0
Black Lotus | Leyline of Anticipation | Mage's Attendant,0.0
Black Lotus | Leyline of Anticipation | Mesmeric Fiend,0.0
"Black Lotus | Nils, Discipline Enforcer | Wasteland",0.0
Black Lotus | Phyrexian Dreadnought | Torpor Orb,1.0
Blackmail | Fourth Bridge Prowler | Swamp,-1.0
Carnage Tyrant | Hollow Trees | Hollow Trees,-1.0
Cathedral of War | Inkmoth Nexus | The Tabernacle at Pendrell Vale,0.0
Cenn's Tactician | Chronomaton | Karakas,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Chancellor of the Forge | Force of Will | Mental Misstep,1.0
Chancellor of the Forge | Gemstone Caverns | Minor Misstep,0.0
City of Traitors | Culling Scales | Inkmoth Nexus,1.0
City of Traitors | Ornithopter | Retrofitter Foundry,0.0
Force of Will | Memnite | Subtlety,0.0
Force of Will | Misthollow Griffin | Saprazzan Cove,1.0
Force of Will | Storm Crow | Wasteland,1.0
Karakas | Mishra's Factory | Mishra's Factory,-1.0
