Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Atraxi Warden | Balance | Remote Farm,0.0
Balance | Dunes of the Dead | Mox Pearl,0.0
Bayou | Hexdrinker | Shrieking Affliction,0.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",0.0
Bottomless Vault | Murderous Rider | Unearth,0.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,0.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",0.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",0.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,0.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,0.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,0.0
Inkmoth Nexus | Karakas | Leyline of Singularity,0.5
Lotus Bloom | Lotus Bloom | Primordial Hydra,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Lupine Prototype | Mishra's Workshop | Wheel of Torture,0.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,0.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,1.0
Sandstone Needle | Shattering Spree | Vexing Shusher,0.0
Ancient Tomb | Elixir of Immortality | Urza's Saga,0.0
Bayou | Mind Swords | Young Wolf,0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",1.0
Cenn's Tactician | Curse of Silence | Karakas,0.0
City of Traitors | Forest | Hexdrinker,-0.5
City of Traitors | Geth's Verdict | Isochron Scepter,0.0
City of Traitors | Isochron Scepter | Selesnya Charm,0.0
City of Traitors | Power Conduit | Urza's Saga,1.0
Copperline Gorge | Crack the Earth | Crashing Footfalls,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Dwarven Hold | Fury | Squee, the Immortal",-0.5
Energy Field | Leyline of Sanctity | Sand Silos,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.5
Forest | Mind Swords | Young Wolf,1.0
"Gisa's Bidding | Lion's Eye Diamond | Ulamog, the Infinite Gyre",-1.0
Hollow Trees | Leyline of Lifeforce | Toadstool Admirer,1.0
Icatian Store | Near-Death Experience | Phyrexian Processor,1.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,0.0
Karakas | Mutavault | Swift Reconfiguration,0.5
Lion's Eye Diamond | Necrogoyf | Vengeful Pharaoh,1.0
Mind Swords | Mishra's Factory | Mox Jet,0.0
