Opponent Decklist,Result
Ancient Den | Dryad Arbor | Dusk Rose Reliquary,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,1.0
Anointed Peacekeeper | Plains | Sol Ring,1.0
Bitterblossom | Mox Jet | Volatile Fault,1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Cenn's Tactician | Daze | Tundra,0.5
Cenn's Tactician | Path to Exile | Plains,0.0
Chain of Smog | Mox Jet | Mutavault,0.0
Chancellor of the Forge | Dwarven Hold | Fury,0.0
Chancellor of the Forge | Foil | Island,0.0
"Channel | Emrakul, the Aeons Torn | Hickory Woodlot",0.5
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Force of Negation | Memnite | Misdirection,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Hatchery Sliver | Hollow Trees | Virulent Sliver,1.0
Hexdrinker | Mox Emerald | Volatile Fault,-1.0
Lotus Bloom | Lotus Bloom | Valkyrie Harbinger,1.0
Mayor of Avabruck | Mox Emerald | Volatile Fault,-1.0
Mox Emerald | Outland Liberator | Volatile Fault,-1.0
Mox Emerald | Swarm Shambler | Volatile Fault,-1.0
Snow-Covered Mountain | Taste for Mayhem | Vault Skirge,1.0
Alpine Moon | Crashing Footfalls | Undiscovered Paradise,1.0
Ancient Tomb | Animation Module | Chronomaton,1.0
Angel of Sanctions | Icatian Store | Solitude,-1.0
Anvil of Bogardan | Cathedral of War | Inkmoth Nexus,-1.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bitterblossom | Cabal Therapy | Peat Bog,1.0
Blooming Marsh | Cabal Therapy | Crashing Footfalls,0.5
Blooming Marsh | Crashing Footfalls | Evil Presence,1.0
Channel | Hickory Woodlot | Karn Liberated,-1.0
Charming Prince | Leonin Relic-Warder | Remote Farm,1.0
Crashing Footfalls | Path to Exile | Savannah,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Gargadon | Sandstone Needle | Wild Magic Surge,-1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",-1.0
Island | Piracy Charm | Sleep-Cursed Faerie,-1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Karakas | Meddling Mage | Mox Sapphire,0.5
Mental Misstep | Pendelhaven | Vault Skirge,0.0
Nether Spirit | Peat Bog | Smallpox,0.0
