Opponent Decklist,Result
Black Lotus | Channel | Karn Liberated,-1.0
"Black Lotus | Channel | Ulamog, the Infinite Gyre",-1.0
Black Lotus | Gideon of the Trials | Pact of Negation,1.0
"Black Lotus | Leonin Squire | Tourach, Dread Cantor",-1.0
Black Lotus | Mayor of Avabruck | Mental Misstep,1.0
Blackmail | Death's Shadow | Tarnished Citadel,-1.0
Chalice of the Void | City of Traitors | Lupine Prototype,1.0
Chalice of the Void | City of Traitors | Phyrexian Revoker,1.0
Chancellor of the Forge | Chancellor of the Forge | Leyline of the Meek,1.0
Chancellor of the Forge | Contagion | Unmask,1.0
Chancellor of the Forge | Foil | Island,1.0
City of Traitors | Dark Depths | Thespian's Stage,0.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,1.0
City of Traitors | Retrofitter Foundry | Sphere of Resistance,1.0
Daze | Hexdrinker | Tropical Island,1.0
Energy Field | Sleeper Agent | Sulfur Vent,-1.0
"Forced Adaptation | Hickory Woodlot | Wilson, Refined Grizzly",1.0
Grove of the Burnwillows | Kavu Predator | Mox Emerald,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,-1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,1.0
Anointed Peacekeeper | Black Lotus | Leyline of Anticipation,-1.0
Archon of Cruelty | Black Lotus | Show and Tell,-1.0
"Black Lotus | Boromir, Warden of the Tower | Leyline of Anticipation",1.0
Black Lotus | Collector Ouphe | Wasteland,-1.0
Black Lotus | Elite Spellbinder | Leyline of Anticipation,1.0
Black Lotus | Induced Amnesia | Leyline of Anticipation,0.0
Blackmail | Swamp | The Rack,-1.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Chalice of the Void | Chronomaton | Wasteland,-1.0
Chancellor of the Forge | Force of Will | Snapback,-1.0
Chancellor of the Spires | Force of Will | Memnite,1.0
Dryad Arbor | Force of Will | Slippery Bogle,1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,0.0
Force of Will | Memnite | Storm Crow,1.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-1.0
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,-1.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,1.0
Cenn's Tactician | Karakas | Mental Misstep,-1.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chronomaton | Curse of Silence | Karakas,-1.0
City of Traitors | Lupine Prototype | Lupine Prototype,0.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,-1.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",-1.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,0.0
Mind Swords | Mishra's Factory | Mox Jet,-1.0
