Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-0.5
Argent Dais | Inkmoth Nexus | Mox Pearl,1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-0.5
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Bayou | Hexdrinker | Thoughtseize,0.5
City of Traitors | Disruptor Flute | Idol of False Gods,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-0.5
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
Curse of Silence | Inkmoth Nexus | Mox Pearl,-0.5
Dryad Arbor | Force of Despair | Grief,0.5
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Icatian Store | Island Sanctuary | Luminarch Ascension,1.0
Island | Sleep-Cursed Faerie | Strix Serenade,1.0
"Karakas | Mox Pearl | Phelia, Exuberant Shepherd",0.0
Mox Emerald | Outland Liberator | Rishadan Port,-0.5
"Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port",-0.5
Ocelot Pride | Ocelot Pride | Plains,1.0
Ocelot Pride | Path to Exile | Plains,1.0
"Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",-1.0
Remote Farm | Westfold Rider | White Orchid Phantom,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Burning Inquiry | Mountain | Nether Spirit,0.0
Cabal Therapy | Snow-Covered Swamp | The Rack,0.5
Cenn's Tactician | Curse of Silence | Plains,-0.5
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pithing Needle | Plains,-1.0
Chancellor of the Forge | Foil | Island,0.0
Chancellor of the Tangle | Mayor of Avabruck | Wasteland,-0.5
Chronomaton | Pithing Needle | Wasteland,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,-1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,-1.0
City of Traitors | Retrofitter Foundry | Sol Ring,1.0
Ensnaring Bridge | Mishra's Workshop | Walking Bulwark,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Karakas | Leyline of Singularity | Tethered Griffin,1.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Lupine Prototype | Mishra's Workshop | The Rack,1.0
Mishra's Workshop | Phyrexian Revoker | The Rack,-1.0
"Oboro, Palace in the Clouds | Piracy Charm | The Rack",1.0
Remote Farm | Skrelv's Hive | Soul Partition,-0.5
Anointed Peacekeeper | City of Traitors | Mox Pearl,-0.5
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Bottomless Vault | Dauthi Voidwalker | Murderous Rider,0.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,0.0
City of Traitors | Hangarback Walker | Steel Overseer,1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Roterothopter | Sphere of Resistance,0.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
Daze | Hexdrinker | Tropical Island,1.0
Devoted Druid | Hickory Woodlot | Quillspike,0.0
Dismember | Dryad Arbor | Pick Your Poison,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Luminarch Aspirant | Mox Pearl | Rishadan Port,0.0
Prairie Dog | Remote Farm | Soul Partition,-0.5
