Opponent Decklist,Result
Ancient Tomb | Lupine Prototype | Urza's Saga,1.0
Ancient Tomb | Urza's Saga | Void Mirror,-1.0
Anointed Peacekeeper | Black Lotus | Leyline of Sanctity,-1.0
Ash Zealot | Black Lotus | Built to Smash,1.0
Black Lotus | Cabal Therapy | Epochrasite,0.0
Black Lotus | Gideon of the Trials | Icatian Store,1.0
Black Lotus | Karakas | Serra the Benevolent,1.0
"Black Lotus | Lurrus of the Dream-Den | Omnath, Locus of Mana",1.0
Blackmail | Swamp | The Rack,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Cavern of Souls | Dismember | Hexdrinker,1.0
Cavern of Souls | Hexdrinker | Mental Misstep,1.0
Chancellor of the Forge | Force of Negation | Snapback,-1.0
Chancellor of the Forge | In Too Deep | Sand Silos,0.0
"City of Traitors | Hickory Woodlot | Thrun, the Last Troll",1.0
City of Traitors | Phyrexian Revoker | Ratchet Bomb,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",-1.0
Death's Shadow | Path to Exile | Tarnished Citadel,1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
Ensnaring Bridge | Mishra's Workshop | The Rack,1.0
Hollow Trees | Hollow Trees | Mistcutter Hydra,1.0
Inkmoth Nexus | Karakas | The Tabernacle at Pendrell Vale,1.0
Alpine Moon | Gleeful Demolition | Great Furnace,-1.0
Badlands | Crack the Earth | Spiteful Hexmage,-0.5
Bayou | Funeral Charm | Hexdrinker,0.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Chronomaton | Karakas | Path to Exile,1.0
City of Traitors | Phyrexian Revoker | The Filigree Sylex,-1.0
Crack the Earth | Crack the Earth | Sandstone Needle,0.0
Dwarven Hold | Pithing Needle | Red Sun's Zenith,-1.0
Eater of Days | Karakas | Mishra's Workshop,1.0
Elvish Spirit Guide | Karakas | Mayor of Avabruck,1.0
Encroach | Hexdrinker | Undiscovered Paradise,0.0
Hickory Woodlot | Mayor of Avabruck | Mayor of Avabruck,1.0
Karakas | Mana Tithe | Student of Warfare,0.5
"Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben",-1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-1.0
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice,1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Alpine Moon | Mountain | Stromkirk Noble,-1.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,-1.0
Banishing Slash | Remote Farm | Skrelv's Hive,-1.0
Bayou | Encroach | Hexdrinker,0.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,1.0
Bottomless Vault | Dauthi Voidwalker | Murderous Rider,1.0
Bottomless Vault | Dread | Smallpox,0.0
Cathedral of War | Inkmoth Nexus | Sphere of Resistance,-1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,1.0
Cauldron Familiar | Urborg | Witch's Oven,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chancellor of the Forge | Plaguecrafter | Subterranean Hangar,1.0
City of Traitors | Drillworks Mole | Phyrexian Revoker,-1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Hangarback Walker | Steel Overseer,1.0
City of Traitors | Jhoira's Toolbox | Umezawa's Jitte,1.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,-1.0
City of Traitors | Magus of the Moon | Mox Ruby,-1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,-1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,-1.0
City of Traitors | Rackling | Sol Ring,1.0
City of Traitors | Roterothopter | Sphere of Resistance,-1.0
City of Traitors | Saprazzan Skerry | Stoic Sphinx,1.0
City of Traitors | Time Vault | Voltaic Servant,-0.5
Dark Depths | Sunken Citadel | Thespian's Stage,-1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",-1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",-1.0
Daze | Hexdrinker | Tropical Island,0.0
Devoted Druid | Hickory Woodlot | Quillspike,1.0
Dismember | Dryad Arbor | Pick Your Poison,0.0
Divine Gambit | Fountain of Cho | Purity,-1.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",-1.0
"Emrakul, the Aeons Torn | Sand Silos | Show and Tell",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Field of Ruin | Sunken Citadel | Treetop Village,-1.0
Flash | Gruff Triplets | Saprazzan Skerry,-1.0
Flaxen Intruder | Hollow Trees | Pick Your Poison,-1.0
Force of Despair | Grief | Memnite,0.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,0.0
Forest | Hexdrinker | Pick Your Poison,-1.0
Fountain of Cho | Path to Exile | Shrine of Burning Rage,1.0
Fountain of Cho | Path to Exile | Skrelv's Hive,1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",1.0
Gilded Drake | Teferi's Isle | Tel-Jilad Stylus,1.0
Gruul Turf | Hellion Crucible | Wrenn and Six,1.0
Healer's Hawk | Karakas | Mana Tithe,0.5
Inkmoth Nexus | Island Sanctuary | Mox Pearl,1.0
Innocent Blood | Nether Spirit | Subterranean Hangar,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Luminarch Aspirant | Mox Pearl | Rishadan Port,1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,1.0
Path to Exile | Remote Farm | Skrelv's Hive,1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
"Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
