Opponent Decklist,Result
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Dunes of the Dead | Mox Pearl,-0.5
Bayou | Hexdrinker | Shrieking Affliction,1.0
"Bottomless Vault | Murderous Rider | Ulamog, the Infinite Gyre",1.0
Bottomless Vault | Murderous Rider | Unearth,1.0
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
"Cavern of Souls | Emmara, Soul of the Accord | Gnarlroot Trapper",1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,1.0
Chancellor of the Forge | Dwarven Hold | Fury,1.0
"Channel | Hickory Woodlot | Ulamog, the Infinite Gyre",-1.0
Chronomaton | Encroach | Swamp,0.0
City of Traitors | Levitating Statue | Tel-Jilad Stylus,1.0
"Davriel, Rogue Shadowmage | Mana Crypt | Swamp",1.0
Daze | Island | Sleep-Cursed Faerie,1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",0.0
Hickory Woodlot | Mayor of Avabruck | Naturalize,-1.0
Hickory Woodlot | Welcome to Sweettooth | Wheel of Sun and Moon,1.0
Inkmoth Nexus | Karakas | Leyline of Singularity,0.0
Lotus Bloom | Lotus Bloom | Primordial Hydra,1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,-0.5
Lupine Prototype | Mishra's Workshop | Wheel of Torture,1.0
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb,-1.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,1.0
Sandstone Needle | Shattering Spree | Vexing Shusher,-1.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,-0.5
Basking Rootwalla | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Botanical Sanctum | Crashing Footfalls | Sea's Claim,0.0
Call to the Netherworld | Lion's Eye Diamond | Mesmeric Fiend,1.0
Cenn's Tactician | Karakas | Mental Misstep,1.0
Chalice of Life | Ensnaring Bridge | Mishra's Workshop,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Chronomaton | Curse of Silence | Karakas,-0.5
City of Traitors | Dark Depths | Thespian's Stage,0.0
City of Traitors | Magus of the Moon | Simian Spirit Guide,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Dryad Arbor | Lion's Eye Diamond | Shadowgrange Archfiend,-1.0
"Emrakul, the Aeons Torn | Lion's Eye Diamond | Shelldock Isle",-1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",-1.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,0.0
Mind Swords | Mishra's Factory | Mox Jet,0.0
