Opponent Decklist,Result
Alpine Moon | Mountain | Stromkirk Noble,-1.0
Bayou | Hexdrinker | Thoughtseize,0.0
Black Market Connections | Peat Bog | Vault of the Archangel,1.0
Bottomless Vault | Nether Spirit | Pox,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,1.0
Cenn's Tactician | Path to Exile | Plains,-1.0
City of Traitors | Deflecting Palm | Isochron Scepter,1.0
City of Traitors | Disruptor Flute | Hex Parasite,0.0
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Leyline of the Guildpact | Scion of Draco,0.0
City of Traitors | Mana Vault | Thought-Knot Seer,-1.0
Crystal Vein | Leyline of the Guildpact | Scion of Draco,0.0
Curse of Silence | Glint Hawk | Mox Pearl,-0.5
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dryad Arbor | Force of Despair | Grief,-1.0
Dryad Arbor | Force of Negation | Slippery Bogle,-1.0
Dryad Arbor | Springheart Nantuko | Undiscovered Paradise,1.0
Encroach | Leyline of Anticipation | Lotus Petal,0.0
Etched Slith | Mishra's Factory | Mox Jet,-1.0
Field of Ruin | Hickory Woodlot | Ranger Class,1.0
Field of Ruin | Idol of False Gods | Sol Ring,-1.0
Fountain of Renewal | Ocelot Pride | Plains,-1.0
Gideon of the Trials | Lotus Bloom | Slaughter Pact,-1.0
Island Sanctuary | Remote Farm | White Orchid Phantom,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-0.5
Legion's Landing | Mistveil Plains | Ocelot Pride,1.0
Mountain | Storm World | Wayward Guide-Beast,-1.0
Mox Pearl | Rishadan Port | Skrelv's Hive,-1.0
"Phelia, Exuberant Shepherd | Portable Hole | Remote Farm",1.0
Planar Nexus | Urza's Tower | Walking Ballista,1.0
Remote Farm | Skrelv's Hive | White Orchid Phantom,1.0
Archfiend of Spite | Lion's Eye Diamond | Lion's Eye Diamond,-1.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Blooming Marsh | Serene Remembrance | Vicious Rumors,0.0
Burning Inquiry | Leyline of Anticipation | Simian Spirit Guide,0.0
Cabal Therapy | Lingering Souls | Lion's Eye Diamond,-0.5
Cenn's Tactician | Curse of Silence | Plains,-1.0
Chancellor of the Forge | Dryad Arbor | Pyrokinesis,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,-1.0
City of Traitors | Phyrexian Revoker | Wasteland,-0.5
Cruel Reality | Lotus Bloom | Show and Tell,-1.0
Crystalline Giant | Mishra's Workshop | Trinisphere,0.0
"Daretti, Ingenious Iconoclast | Interplanar Beacon | Mana Crypt",0.5
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,-1.0
"Dryad Arbor | Oko, Thief of Crowns | Simic Growth Chamber",1.0
Energy Field | Lotus Petal | Lotus Petal,0.0
Force of Negation | Karakas | Leyline of Singularity,0.0
Forest | Nature's Claim | Swarm Shambler,-1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mental Misstep | Sleep-Cursed Faerie,-0.5
Karakas | Mana Tithe | Student of Warfare,0.5
Lupine Prototype | Mishra's Workshop | Pithing Needle,0.0
Banishing Slash | Remote Farm | Skrelv's Hive,1.0
Bayou | Encroach | Hexdrinker,0.0
Chancellor of the Forge | Force of Negation | Snapback,-1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Jhoira's Toolbox | Umezawa's Jitte,1.0
City of Traitors | Phyrexian Revoker | The Tabernacle at Pendrell Vale,-0.5
City of Traitors | Saprazzan Skerry | Stoic Sphinx,1.0
City of Traitors | Time Vault | Voltaic Servant,0.5
Dark Depths | Sunken Citadel | Thespian's Stage,1.0
"Dark Depths | Urborg, Tomb of Yawgmoth | Vampire Hexmage",1.0
Field of Ruin | Sunken Citadel | Treetop Village,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,-1.0
Fountain of Cho | Path to Exile | Skrelv's Hive,1.0
"Generous Plunderer | Gut, True Soul Zealot | Sandstone Needle",1.0
Gilded Drake | Teferi's Isle | Tel-Jilad Stylus,1.0
Healer's Hawk | Karakas | Mana Tithe,0.0
Inkmoth Nexus | Island Sanctuary | Mox Pearl,0.0
Path to Exile | Remote Farm | Skrelv's Hive,1.0
"Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth",1.0
