Opponent Decklist,Result
Abrade | Mogg War Marshal | Sandstone Needle,-0.5
Akroan Horse | Lotus Petal | Mishra's Workshop,1.0
Alpine Moon | Cenn's Tactician | Plateau,0.0
Anvil of Bogardan | Blazing Rootwalla | City of Traitors,1.0
Atraxi Warden | Balance | Remote Farm,-1.0
Balance | Crashing Footfalls | Tinder Farm,-1.0
Balance | Plains | Simian Spirit Guide,0.5
Basking Rootwalla | Bazaar of Baghdad | Bridge from Below,1.0
Bayou | Cabal Therapy | Scythe Tiger,0.0
Bayou | Cabal Therapy | Young Wolf,0.5
Bayou | Hexdrinker | Shrieking Affliction,-1.0
Blooming Marsh | Crashing Footfalls | Shrieking Affliction,-1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Cavern of Souls | Dismember | Swarm Shambler,1.0
Cavern of Souls | Hexdrinker | The Tabernacle at Pendrell Vale,1.0
Cenn's Tactician | Curse of Silence | Karakas,0.5
Chancellor of the Forge | Chronomaton | Quicksand,1.0
Chancellor of the Forge | Force of Negation | Snapback,0.0
Chancellor of the Forge | Fury | Sandstone Needle,1.0
Chancellor of the Tangle | Crashing Footfalls | Force of Vigor,-1.0
City of Traitors | Isochron Scepter | Verdant Command,-1.0
City of Traitors | Isochron Scepter | Witherbloom Command,1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
City of Traitors | Retrofitter Foundry | Steel Overseer,-1.0
City of Traitors | Retrofitter Foundry | The Filigree Sylex,0.0
City of Traitors | Thespian's Stage | Urza's Saga,-1.0
Conjurer's Bauble | Lupine Prototype | Mishra's Workshop,1.0
Crashing Footfalls | Forest | Mental Misstep,-1.0
Crystalline Giant | Mishra's Workshop | Trinisphere,0.0
Dark Depths | Ebon Stronghold | Vampire Hexmage,1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
Daze | Island | Sleep-Cursed Faerie,1.0
Dryad Arbor | Karakas | Leyline of Singularity,0.0
"Dwarven Hold | Embereth Shieldbreaker | Ulamog, the Infinite Gyre",-1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Force of Despair | Memnite | Unmask,0.5
Hexdrinker | Shrieking Affliction | Undiscovered Paradise,-1.0
Hickory Woodlot | Mayor of Avabruck | Outland Liberator,-1.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.5
Lupine Prototype | Mishra's Workshop | Wheel of Torture,-1.0
Mana Crypt | Scroll of Griselbrand | Urza's Saga,1.0
Memnite | Memnite | Memnite,1.0
Mishra's Workshop | Phyrexian Revoker | Wheel of Torture,-1.0
Obstinate Baloth | Obstinate Baloth | Obstinate Baloth,1.0
Sandstone Needle | Shattering Spree | Vexing Shusher,0.0
Shrieking Affliction | Swarm Shambler | Undiscovered Paradise,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Bayou | Mind Swords | Young Wolf,0.5
Berserk | Chronomaton | Dryad Arbor,1.0
Blackcleave Cliffs | Encroach | Shadow Guildmage,0.5
Blazing Rootwalla | Foil | Volcanic Island,0.0
"Bone Shards | Bottomless Vault | Ulamog, the Infinite Gyre",1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",-1.0
"Boseiju, Who Endures | Hickory Woodlot | Mayor of Avabruck",-1.0
Cabal Therapy | Inkmoth Nexus | Urborg,0.5
Cathedral of War | Inkmoth Nexus | Maze of Ith,1.0
Cenn's Tactician | Curse of Silence | Plains,0.5
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chaplain of Alms | Karakas | Leyline of Singularity,0.0
Chronomaton | Icatian Javelineers | Karakas,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,-1.0
City of Traitors | Isochron Scepter | Selesnya Charm,-1.0
City of Traitors | Mishra's Workshop | Stuffy Doll,1.0
City of Traitors | Pithing Needle | Retrofitter Foundry,0.0
Commandeer | Mental Misstep | Snapback,0.0
Curse of Silence | Hexdrinker | Savannah,0.0
Doomed Traveler | Karakas | Leyline of Singularity,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,-1.0
Ensnaring Bridge | Mishra's Workshop | Scepter of Empires,-1.0
Eternal Scourge | Fountain of Cho | Path to Exile,1.0
Flash | Geralf's Mindcrusher | Saprazzan Cove,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,0.0
Forest | Mind Swords | Young Wolf,1.0
Grafdigger's Cage | Mana Clash | Snow-Covered Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",-1.0
Island | Mistblade Shinobi | Slither Blade,1.0
Island | Sleep-Cursed Faerie | Void Snare,1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend,1.0
Karakas | Mana Tithe | Memnite,1.0
Karakas | Mox Pearl | Skrelv's Hive,1.0
Karakas | Rishadan Port | Swooping Lookout,1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,1.0
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend,1.0
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend,0.0
Lupine Prototype | Lupine Prototype | Mishra's Workshop,1.0
