Opponent Decklist,Result
Archfiend of Spite | Lion's Eye Diamond | Lion's Eye Diamond,0.0
Bayou | Cabal Therapy | Young Wolf,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,-0.5
Blooming Marsh | Serene Remembrance | Vicious Rumors,1.0
Burning Inquiry | Leyline of Anticipation | Simian Spirit Guide,0.0
Cabal Therapy | Lingering Souls | Lion's Eye Diamond,0.0
Cenn's Tactician | Curse of Silence | Plains,-0.5
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Cenn's Tactician | Path to Exile | Plains,-1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,-1.0
Chancellor of the Forge | Dryad Arbor | Pyrokinesis,-1.0
Chancellor of the Forge | Dwarven Hold | Fury,-1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Fury | Wasteland,-1.0
Chancellor of the Forge | Karakas | Leyline of Singularity,0.0
Chronomaton | Dismember | Wasteland,0.0
City of Traitors | Lion's Eye Diamond | Starnheim Unleashed,1.0
City of Traitors | Magus of the Moon | Mox Ruby,0.5
Cruel Reality | Lotus Bloom | Show and Tell,1.0
Crystalline Giant | Mishra's Workshop | Trinisphere,-1.0
"Daretti, Ingenious Iconoclast | Interplanar Beacon | Mana Crypt",1.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Divine Gambit | Remote Farm | Skrelv's Hive,1.0
"Dryad Arbor | Oko, Thief of Crowns | Simic Growth Chamber",1.0
Energy Field | Lotus Petal | Lotus Petal,0.5
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,0.0
Force of Despair | Memnite | Unmask,-1.0
Force of Negation | Karakas | Leyline of Singularity,1.0
Forest | Nature's Claim | Swarm Shambler,-1.0
Gisa's Bidding | Lion's Eye Diamond | Nether Spirit,0.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mental Misstep | Sleep-Cursed Faerie,-0.5
Karakas | Mana Tithe | Student of Warfare,0.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",1.0
Lupine Prototype | Mana Crypt | Phyrexian Revoker,1.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Mayor of Avabruck | Mox Emerald | Wasteland,0.0
Mind Rake | Mishra's Factory | Mox Jet,0.5
Mishra's Factory | The Rack | Wasteland,-1.0
"Mox Jet | Valki, God of Lies | Wasteland",0.0
