Opponent Decklist,Result
Acquisitions Expert | Memnite | Phyrexian Tower,0.0
Ancient Spring | Chancellor of the Forge | Gerrard's Verdict,0.0
Butcher Ghoul | Flare of Malice | Peat Bog,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,-1.0
City of Traitors | Disruptor Flute | Hex Parasite,-0.5
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Phyrexian Revoker,0.5
City of Traitors | Disruptor Flute | Steel Overseer,0.5
City of Traitors | Mana Vault | Thought-Knot Seer,0.0
City of Traitors | Maze of Ith | The Millennium Calendar,-1.0
City of Traitors | Walking Bulwark | Wall of Junk,0.0
Disruptor Flute | Inkmoth Nexus | Mox Emerald,-1.0
Dryad Arbor | Force of Vigor | Vine Dryad,0.0
Ensoul Artifact | Ornithopter | Saprazzan Skerry,0.0
"Isamaru, Hound of Konda | Plains | Portable Hole",0.5
Leyline of Anticipation | Lightning Bolt | Mountain,1.0
Lord of Atlantis | Saprazzan Skerry | Tide Shaper,0.5
"Magda, the Hoardmaster | Mox Ruby | Rishadan Port",0.0
Miasmic Mummy | Mox Jet | Rishadan Port,0.0
"Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom",1.0
Reality Shift | Saprazzan Skerry | Tide Shaper,1.0
